건축물동수,건축물연면적,사업장명,탈의실면적,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지도자수,휴게실면적,지번주소,회원모집총인원,관리번호,사무실면적,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,세종헬스,,2007-01-24,,169507.282153893,440443.044373949,체력단련장업,2026-05-06 22:56:22,I,03,폐업,0,2007-01-24 17:47:04,,1991-07-05,,402-812,,,인천광역시 미추홀구 숭의동 58-8,,CDFH3301061991000003,,3510500,사립,인천광역시 미추홀구 수봉로 8  (숭의동),,03,폐업,,,
,,소피아체육관,,2006-01-24,,167715.384756979,439047.401597608,체력단련장업,2026-05-06 22:56:22,I,03,폐업,0,2006-01-24 15:30:24,,1994-04-11,,402-834,,,인천광역시 미추홀구 용현동 621-18,,CDFH3301061994000004,,3510500,사립,인천광역시 미추홀구 낙섬서로 42  (용현동),,03,폐업,,,
,,포사이트짐,,2011-03-17,,172804.461602098,439565.47691902,체력단련장업,2026-05-06 22:56:22,I,03,폐업,,2011-10-11 15:23:36,,1997-01-09,,402-848,,,인천광역시 미추홀구 주안동 1585-4,,CDFH3301061997000001,,3510500,사립,인천광역시 미추홀구 구월로 27  (주안동),,03,폐업,,,
,,한진헬쓰,,2008-07-01,,172907.089190247,439762.586865151,체력단련장업,2026-05-06 22:56:22,I,03,폐업,0,2008-07-01 15:36:35,,1997-08-11,,402-848,,,인천광역시 미추홀구 주안동 1593-40,,CDFH3301061997000004,,3510500,사립,인천광역시 미추홀구 경인로 494  (주안동),,03,폐업,,,
,,제일헬스피아,,2003-06-04,,167650.665010005,438675.434734687,체력단련장업,2026-05-06 22:56:22,I,03,폐업,0,2003-06-04 16:58:21,,1997-02-01,,402-834,,,인천광역시 미추홀구 용현동 627-341,,CDFH3301061997000005,,3510500,사립,인천광역시 미추홀구 낙섬서로10번길 28  (용현동),,03,폐업,,,
,,헬스클럽피필학익점,,2012-02-14,,171184.306327126,437467.24635828,체력단련장업,2026-05-06 22:56:22,I,03,폐업,0,2012-02-14 14:29:06,,1997-10-10,,402-040,,,인천광역시 미추홀구 학익동 663-1,,CDFH3301061997000006,,3510500,사립,인천광역시 미추홀구 매소홀로488번길 6-32  (학익동),,03,폐업,,,
,,도화남녀헬스클럽,,2020-07-17,,170580.143065565,440684.092851268,체력단련장업,2026-05-06 22:56:22,I,03,폐업,,2020-07-17 11:20:08,,1998-11-09,,,,,인천광역시 미추홀구 도화동 137-10,,CDFH3301061998000001,,3510500,사립,인천광역시 미추홀구 석정로 296-1 (도화동),22118,03,폐업,,,
,,김상기헬스클럽,,2006-11-07,,171616.745210666,438561.591869838,체력단련장업,2026-05-06 22:56:22,I,03,폐업,0,2006-11-07 11:48:36,,1999-07-09,,402-858,,,인천광역시 미추홀구 주안동 1464,,CDFH3301061999000001,,3510500,사립,인천광역시 미추홀구 미추홀대로 576  (주안동),,03,폐업,,,
,,프로헬스클럽,,2006-09-27,,171082.981223135,439653.972095522,체력단련장업,2026-05-06 22:56:22,I,03,폐업,0,2006-09-27 16:54:59,,2000-06-30,,402-809,,,"인천광역시 미추홀구 도화동 458-6 458-6,10",,CDFH3301062000000001,,3510500,사립,"인천광역시 미추홀구 제일로 34  (도화동,458-6,10)",,03,폐업,,,
,612,맥스 휘트니스 클럽,,2019-01-22,,154570.733350442,471868.769417442,체력단련장업,2026-05-06 22:56:20,I,03,폐업,Y,2019-01-22 16:26:03,,2000-12-06,320,417-802,1,,인천광역시 강화군 강화읍 관청리 488-2,,CDFH3301062000000001,,3570000,사립,인천광역시 강화군 강화읍 동문안길 9-1,23031,03,폐업,,,
