사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,조제용연마기수,상세영업상태코드,상세영업상태명,시력표수,총면적,안경세척기수,가열기수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,렌즈절단기수,지번주소,관리번호,측정의자수,개방자치단체코드,동공거리측정기수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,표본렌즈수,휴업시작일자,휴업종료일자,소재지전화번호,정점굴절계기수
일공공일안경원,2023-03-27,203946.218925234,462919.219463289,2026-05-06 22:33:04,I,0,03,폐업,0,66,0,0,2023-03-27 14:56:02,,2003-09-29,132-854,0,서울특별시 도봉구 방학동 718번지 7호 외 11필지,PHMB220033090033082200002,0,3090000,0,서울특별시 도봉구 마들로 657 (방학동),01332,03,폐업,0,,,,0
아이닥터안경,2019-10-18,204011.919617341,461194.791887383,2026-05-06 22:33:05,I,0,03,폐업,0,,0,0,2019-10-18 09:58:37,,2004-02-21,132-904,0,서울특별시 도봉구 창동 134번지 36호,PHMB220043090033082200001,0,3090000,0,서울특별시 도봉구 노해로63길 79 (창동),01399,03,폐업,0,,,,0
안경천국,2022-09-26,203876.584261074,462608.555132464,2026-05-06 22:33:07,I,0,03,폐업,0,,0,0,2022-09-27 09:55:09,,2005-03-14,132-854,0,서울특별시 도봉구 방학동 715번지,PHMB220053090033082200001,0,3090000,0,서울특별시 도봉구 도봉로150길 28 (방학동),01335,03,폐업,0,,,,0
안경나라 쌍문전철안경,2020-01-13,202966.7837047,460551.406386109,2026-05-06 22:33:08,I,0,03,폐업,0,,0,0,2020-01-13 14:46:51,,2005-06-14,132-924,0,서울특별시 도봉구 창동 655번지 20호,PHMB220053090033082200002,0,3090000,0,서울특별시 도봉구 도봉로 468 (창동),01455,03,폐업,0,,,,0
안경이야기,2009-03-31,,,2026-05-06 22:33:08,I,0,03,폐업,0,,0,0,2011-03-22 15:06:13,,2006-04-04,132-854,0,서울특별시 도봉구 방학1동 718-7 ESA상가 102호,PHMB220063090033082200001,0,3090000,0,,,03,폐업,0,,,,0
눈박사안경원,2016-11-29,203700.292650064,463067.340318666,2026-05-06 22:33:09,I,0,03,폐업,0,,0,0,2016-11-29 14:55:50,,2007-01-30,132-820,0,서울특별시 도봉구 도봉동 619번지 20호,PHMB220073090033082200001,0,3090000,0,"서울특별시 도봉구 도봉로153길 14, 1층 (도봉동)",01349,03,폐업,0,,,,0
안경스케치,2010-03-03,,,2026-05-06 22:33:09,I,0,03,폐업,0,,0,0,2010-04-16 13:41:04,,2007-02-15,132-903,0,서울특별시 도봉구 창5동 74-161 1층,PHMB220073090033082200002,0,3090000,0,,,03,폐업,0,,,,0
아이파크안경원,2009-06-19,,,2026-05-06 22:33:10,I,0,03,폐업,0,,0,0,2009-06-19 16:43:05,,2007-06-08,132-928,0,서울특별시 도봉구 서울시 도봉구 (가인새싹1길 4)창5동 750-2 창동리더스빌딩101호,PHMB220073090033082200003,0,3090000,0,,,03,폐업,0,,,,0
아이조아안경,2016-05-30,204247.213401781,461131.830916668,2026-05-06 22:33:10,I,0,03,폐업,0,,0,0,2016-06-29 09:35:31,,2008-05-02,132-898,0,서울특별시 도봉구 창4동 5번지 1호 킹프라자 103호,PHMB220083090033082200001,0,3090000,0,서울특별시 도봉구 마들로11가길 16 (창동),01414,03,폐업,0,,,,0
푸르나안경,2010-07-07,,,2026-05-06 22:33:10,I,0,03,폐업,0,,0,0,2010-07-07 14:53:36,,2008-07-07,,0,서울특별시 도봉구 쌍문3동 100-15,PHMB220083090033082200003,0,3090000,0,,,03,폐업,0,,,,0
안경의집,2011-03-02,203773.768017752,463911.244365486,2026-05-06 22:33:11,I,0,03,폐업,0,,0,0,2011-04-04 13:41:24,,2008-07-29,132-819,0,서울특별시 도봉구 도봉1동 597번지 37호,PHMB220083090033082200004,0,3090000,0,,,03,폐업,0,,,,0
