건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,청소년실수,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,통로너비,공연장형태구분명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
기타,CGV 김포공항9 (1관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:17,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:46:13,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000001,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,,4,1
기타,CGV김포공항9 (2관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:18,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:45:46,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000002,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,,4,1
기타,CGV김포공항9 (4관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:18,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:50:42,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000004,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,62559090,4,1
기타,CGV김포공항9 (5관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:18,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:52:01,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000005,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,62559090,4,1
기타,CGV김포공항9 (6관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:18,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:52:49,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000006,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,62559090,4,1
기타,CGV김포공항9 (7관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:18,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:53:38,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000007,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,62559090,4,1
기타,CGV김포공항9 (8관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:18,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:54:27,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000008,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,62559090,4,1
기타,CGV김포공항9 (9관),2018-01-18,182524.823835629,451438.25089679,영화상영관,영화상영관,2026-05-06 22:35:18,I,03,폐업,,,2003-01-22,3,,,2018-01-18 14:55:22,,2003-01-22,,서울특별시 강서구 방화동 886,CDFF4220002003000009,3150000,,영화관,자연녹지지역,서울특별시 강서구 하늘길 38 (방화동),07505,03,폐업,기타,,,,4,1
,CGV 등촌 7관,2022-11-28,187210.917773717,450631.435497518,,영화상영관,2026-05-06 22:35:19,I,03,폐업,,,2019-01-25,10,,,2022-12-15 15:48:58,,2019-01-25,,서울특별시 강서구 등촌동 639-23 3~9층,CDFF4220002019000007,3150000,,영화관,,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",07567,03,폐업,,,,02-3665-9064,,3
,CGV 등촌 8관,2022-11-28,187210.917773717,450631.435497518,,영화상영관,2026-05-06 22:35:19,I,03,폐업,,,2019-01-25,10,,,2022-12-15 16:15:02,,2019-01-25,,서울특별시 강서구 등촌동 639-23 3~9층,CDFF4220002019000008,3150000,,영화관,,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",07567,03,폐업,,,,02-3665-9064,,3
