건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,관광숙박업상세명,지하층수,선박척수,선박제원,선박총톤수
,숙박시설,케이그랜드호텔 DDP,,,170000000,200938.52813687,451798.00308625,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,294.39,294,3,13,,,,2026-03-18 12:35:39,,2026-03-04,,서울특별시 중구 신당동 775 신한빌딩,CDFI2260032026000015,3010000,상업지역,"서울특별시 중구 마장로 11, 신한빌딩 3층 (신당동)",04567,01,영업/정상,,,,,,,070-7780-3650,1,호스텔업,,,,
,,zip 1972 hostel,,,,199776.8998987,451757.911311507,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,178.84,179,2,8,,,,2026-03-18 12:35:06,,2026-03-05,,서울특별시 중구 주교동 122-3 브라더빌딩,CDFI2260032026000016,3010000,,"서울특별시 중구 창경궁로 64, 브라더빌딩 지상2층 (주교동)",04546,01,영업/정상,,,,,,,,3,호스텔업,1,,,
,,호텔 엔티마,,,,192866.856097244,447341.334688661,관광사업,관광숙박업,2026-05-06 22:30:22,I,03,폐업,,,,0,0,,,,,,2009-04-13 10:43:55,,2001-02-13,150-872,서울특별시 영등포구 여의도동 15-13,CDFI2260032001000004,3180000,,서울특별시 영등포구 국회대로68길 24  (여의도동),,03,폐업,,,,,,,21977000,,,,,,
,,포레스트 스테이 을지로,,,,199957.659044118,451651.967315334,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,186.88,187,4,9,,,,2026-03-18 12:37:29,,2026-02-24,,서울특별시 중구 주교동 258 지상3층,CDFI2260032026000012,3010000,,"서울특별시 중구 을지로33길 6, 지상3층 (주교동)",04546,01,영업/정상,,,,,,,,5,호스텔업,1,,,
575,,JEJARI STAY,,,1500000000,198608.927223501,450707.580510567,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,,,,20,,,,2026-03-18 12:35:56,,2026-02-24,,서울특별시 중구 남산동2가 37-2 JEJARI STAY,CDFI2260032026000013,3010000,,"서울특별시 중구 소공로6길 35, JEJARI STAY (남산동2가)",04631,01,영업/정상,,,,,,,,,호스텔업,,,,
,,아랑재,,,,199982.67401815,451312.579937352,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,139.32,139,,4,,,,2026-04-08 11:02:44,,2026-04-07,,서울특별시 중구 오장동 101-5,CDFI2260032026000025,3010000,,"서울특별시 중구 마른내로12길 7-1, 지상2층~지상3층 (오장동)",04559,01,영업/정상,,,,,,,,,호스텔업,,,,
,,에이치 호스텔,,,50000000,204219.516378396,452430.518547191,,관광숙박업,2026-05-06 22:30:12,I,13,영업중,,,,171.04,171,4,,,,,2026-04-22 13:10:03,,2026-04-08,,서울특별시 동대문구 답십리동 472-46,CDFI2260032026000001,3050000,일반주거지역,"서울특별시 동대문구 서울시립대로4길 35, 3층 (답십리동)",02595,01,영업/정상,,,,,,,,,호스텔업,1,,,
,,D-HAUS HOSTEL,,,,200322.997409412,451340.451459806,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,384.34,384,,,,,,2026-04-14 09:42:31,,2026-04-14,,서울특별시 중구 쌍림동 22-13,CDFI2260032026000027,3010000,,"서울특별시 중구 퇴계로53길 6-19, 지상3층~지상6층 (쌍림동)",04560,01,영업/정상,,,,,,,,,호스텔업,,,,
,,MOK HOSTEL,,,450000000,198526.809718956,451090.607143509,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,,,,18,,,,2026-03-18 12:38:13,,2026-02-23,,서울특별시 중구 명동2가 53-9,CDFI2260032026000011,3010000,,"서울특별시 중구 명동4길 35, 5,6층 (명동2가)",04536,01,영업/정상,,,,,,,,,호스텔업,,,,
,,Stay Together Seoul,,,,199100.110580901,451284.734837059,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,353.52,354,,10,,,,2026-04-16 14:34:37,,2026-04-15,,서울특별시 중구 저동2가 47-11,CDFI2260032026000028,3010000,,"서울특별시 중구 수표로10길 5-5, 지상3층~지상4층 (저동2가)",04555,01,영업/정상,,,,,,,,,호스텔업,,,,
