건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,담엔터테인먼트,2020-03-26,206844.935043066,423751.127559237,,,2026-05-06 22:37:41,I,03,폐업,,,,,2021-11-16 14:53:19,,2015-08-05,,경기도 용인시 수지구 성복동 ***-*,CDFF3241092015000006,3060000,,"경기도 용인시 수지구 성복*로**번길 **-**, ***호 (성복동)",16848,03,폐업,,,,,,
,프리시드엔터테인먼트,2018-09-20,207036.564595185,456548.746473116,,,2026-05-06 22:37:41,I,03,폐업,,,,,2021-08-24 08:47:43,,2016-05-17,,서울특별시 중랑구 묵동 ***-***,CDFF3241092016000002,3060000,,"서울특별시 중랑구 동일로***길 **, *층 (묵동, 여명어린이집)",02037,03,폐업,,,,02-977-9700,,
,고릴라제이 엔터테인먼트,2016-12-30,208072.57784615,454037.335434828,,,2026-05-06 22:37:41,I,03,폐업,,,,,2019-07-21 15:23:00,,2016-09-23,,서울특별시 중랑구 면목동 **-***,CDFF3241092016000003,3060000,,서울특별시 중랑구 겸재로**길 ** (면목동),02202,03,폐업,,,,,,
,가이아,2021-12-02,206870.065710623,453704.936747576,,,2026-05-06 22:37:42,I,03,폐업,,,,,2021-12-03 10:10:48,,2021-02-15,,서울특별시 중랑구 면목동 ***-*** ***호,CDFF3241092021000001,3060000,,"서울특별시 중랑구 겸재로**길 **-*, ***호 (면목동)",02231,03,폐업,,,,,,
,케이엠사운드,2025-11-28,207026.563405945,455807.538588639,,,2026-05-06 22:37:42,I,03,폐업,,,,,2025-12-09 21:43:16,,2021-07-13,,서울특별시 중랑구 중화동 ***-**,CDFF3241092021000004,3060000,,"서울특별시 중랑구 동일로***길 **-*, *층 (중화동)",02047,03,폐업,,,,,,
,보명프로,2020-04-07,195124.438236336,450532.009946368,,,2026-05-06 22:30:25,I,03,폐업,,,,,2020-04-07 10:34:09,,2015-02-03,,서울특별시 서대문구 대현동 **-*,CDFF3241092015000001,3120000,,서울특별시 서대문구 신촌로 *** (대현동),03766,03,폐업,,,,02-312-4966,,
,휴먼게이트,2018-01-04,194195.286480677,450491.55070752,,,2026-05-06 22:30:25,I,03,폐업,,,,,2018-01-04 15:30:55,,2015-06-16,,서울특별시 서대문구 창천동 **-** B*,CDFF3241092015000006,3120000,,"서울특별시 서대문구 연세로*길 **-*, B*층 (창천동)",03789,03,폐업,,,,070-4242-4534,,
,캐스팅코리아,2024-11-08,194237.119272402,453000.605414525,,,2026-05-06 22:30:25,I,03,폐업,,,,,2024-11-12 09:02:50,,2015-07-22,,서울특별시 서대문구 연희동 ***-* 드리밍아파트 ***호,CDFF3241092015000009,3120000,,"서울특별시 서대문구 홍제천로 ***, ***호 (연희동, 드리밍아파트 )",03660,03,폐업,,,,,,
,닥터나인,2019-08-06,195161.384718657,453681.531642847,,,2026-05-06 22:30:25,I,03,폐업,,,,,2019-08-06 15:58:25,,2015-07-28,,서울특별시 서대문구 홍제동 ***-* ****호,CDFF3241092015000014,3120000,,"서울특별시 서대문구 모래내로 ***, **층 ****호 (홍제동)",03729,03,폐업,,,,02-723-2204,,
,(주)프레즐 프러덕션,2019-08-06,192028.41586192,452265.952165442,,,2026-05-06 22:30:25,I,03,폐업,,,,,2019-08-06 15:58:34,,2015-07-28,,서울특별시 서대문구 북가좌동 *** DMC래미안 e편한세상 ***동 ****호,CDFF3241092015000016,3120000,,"서울특별시 서대문구 수색로 ***, ***동 ****호 (북가좌동, DMC래미안 e편한세상)",03709,03,폐업,,,,070-4400-7972,,
