건축물명,건축물상태명,건축물연면적,사업장명,청소대상시작일자,청소대상종료일자,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,업무구분,업무구분명,휴업폐지사유,휴업시작일자,휴업종료일자,소재지전화번호
,,,상생종합건설(주),,,,192308.95074073,454717.235232744,2026-05-06 22:53:37,I,2,폐업,2015-01-05 21:09:59,,2003-10-17,,서울특별시 은평구 신사동 **-*,311000031200200001,3110000,서울특별시 은평구 증산로**길 *  (신사동),,,03,폐업,31,저수조청소업,사업부진,,,
,,,세성토건,,,,193809.505353079,455992.525766815,2026-05-06 22:53:37,I,2,폐업,2015-01-05 21:09:59,,2004-07-23,,서울특별시 은평구 녹번동 ***-**,311000031200200002,3110000,서울특별시 은평구 녹번로 **  (녹번동),,,03,폐업,31,저수조청소업,영업소재지 지방이전,,,
,,,화이트이든(주),,,,191978.624394275,454814.101987448,2026-05-06 22:53:35,I,11,정상,2015-01-05 21:09:59,,2009-05-18,,서울특별시 은평구 신사동 **-* *층,311000031200900002,3110000,"서울특별시 은평구 가좌로 ***-*  (신사동,*층)",,,01,영업/정상,31,저수조청소업,,,,02-354-6606
,,,그린환경,,,,192700.430929896,453519.463895899,2026-05-06 22:53:35,I,11,정상,2015-07-03 17:54:47,,2015-07-03,,서울특별시 은평구 응암동 ***-*,311000031200900003,3110000,서울특별시 은평구 가좌로*나길 ** (응암동),,,01,영업/정상,31,저수조청소업,,,,02-373-1528
,,,(주)두경산업,,,,193196.620023035,455520.343084969,2026-05-06 22:53:36,I,11,정상,2023-07-10 09:30:58,,2023-07-10,,서울특별시 은평구 녹번동 ***-** *층 ***호,311000031201100001,3110000,"서울특별시 은평구 은평로**길 **-* (녹번동,*층 ***호)",,,01,영업/정상,31,저수조청소업,,,,02-841-5757
,,,(주)무진이엠에스,,,,193156.561270858,457559.907742276,2026-05-06 22:53:36,I,11,정상,2024-08-01 14:06:00,,2024-07-26,,서울특별시 은평구 불광동 ***-** ***호,311000031201200002,3110000,"서울특별시 은평구 연서로**길 *, ***호 (불광동)",,,01,영업/정상,31,저수조청소업,,,,
,,,한영씨앤씨 주식회사,,,,192204.317641686,456765.388609512,2026-05-06 22:53:36,I,11,정상,2015-04-06 17:41:50,,2015-04-06,,서울특별시 은평구 구산동 ***-* B***호,311000031201300001,3110000,서울특별시 은평구 서오릉로 *** (갈현동),,,01,영업/정상,31,저수조청소업,,,,
,,,(주)케이이비엠,,,,193079.384846112,455774.77300707,2026-05-06 22:53:42,I,11,정상,2022-05-10 16:47:58,,2014-08-14,,서울특별시 은평구 녹번동 ***-* 경도빌딩 *층,311000031201300002,3110000,"서울특별시 은평구 응암로 ***-*, 경도빌딩 *층 (녹번동)",03458,,01,영업/정상,31,저수조청소업,,,,02-383-4565
,,,(주)한빛티엠에스,,,,193156.561270858,457559.907742276,2026-05-06 22:53:43,I,11,정상,2015-01-05 21:09:59,,2013-05-10,,서울특별시 은평구 불광동 ***-**,311000031201300003,3110000,"서울특별시 은평구 연서로**길 *, ***호 (불광동)",,,01,영업/정상,31,저수조청소업,,,,
,,,(주)보명씨티에스,,,,193156.561270858,457559.907742276,2026-05-06 22:53:43,I,11,정상,2025-07-18 17:38:55,,2014-04-11,,서울특별시 은평구 불광동 ***-** ***호,311000031201300004,3110000,"서울특별시 은평구 연서로**길 *, ***호 (불광동)",,,01,영업/정상,31,저수조청소업,,,,02-556-8156
,,,(주)일승토건,,,,191583.497793556,453375.372928204,2026-05-06 22:53:44,I,11,정상,2022-02-14 09:43:44,,2015-03-13,,서울특별시 은평구 증산동 ***-** ***호,311000031201500001,3110000,"서울특별시 은평구 증산서길 **, *층 ***호 (증산동)",03493,,01,영업/정상,31,저수조청소업,,,,02-309-2340
,,,새로미,,,,192600.451566859,455197.91922534,2026-05-06 22:53:44,I,11,정상,2015-06-05 17:56:33,,2015-06-04,,서울특별시 은평구 응암동 ***,311000031201500002,3110000,"서울특별시 은평구 은평로 ** (응암동, 해태드림타운B***호)",,,01,영업/정상,31,저수조청소업,,,,02-798-8230
,,,엠에스테크건설,,,,193340.016253073,457795.722154867,2026-05-06 22:53:44,I,11,정상,2016-02-24 15:52:11,,2016-02-25,,서울특별시 은평구 불광동 ***-*,311000031201600001,3110000,서울특별시 은평구 연서로**길 ** (불광동),,,01,영업/정상,31,저수조청소업,,,,
,,,엠에스테크건설(주),,,,193340.016253073,457795.722154867,2026-05-06 22:53:44,I,11,정상,2016-04-06 16:41:51,,2016-02-25,,,311000031201600002,3110000,서울특별시 은평구 연서로**길 ** (불광동),,,01,영업/정상,31,저수조청소업,,,,
,,,스카이건설(주),,,,191583.497793556,453375.372928204,2026-05-06 22:53:44,I,11,정상,2022-02-17 16:47:09,,2016-03-22,,서울특별시 은평구 증산동 ***-** ***호,311000031201600004,3110000,"서울특별시 은평구 증산서길 **, *층 ***호 (증산동)",03493,,01,영업/정상,31,저수조청소업,,,,02-376-0892
,,,(주)오성환경시스템,,,,193233.868302229,456109.28827506,2026-05-06 22:53:45,I,11,정상,2025-10-14 13:24:42,,2018-04-23,,서울특별시 은평구 녹번동 ***-** *층,311000031201800002,3110000,"서울특별시 은평구 진흥로 ***, *층 (녹번동)",03378,,01,영업/정상,31,저수조청소업,,,,02-302-5450
,,,(주)세한에스에이치,,,,192381.95027852,455587.487032692,2026-05-06 22:53:45,I,11,정상,2023-06-21 09:37:39,,2023-06-21,,서울특별시 은평구 역촌동 **-** ***호,311000031202000001,3110000,"서울특별시 은평구 연서로*길 **-*, ***호 (역촌동)",03418,,01,영업/정상,31,저수조청소업,,,,02-6326-7700
