건축연면적,건물용도명,사업장명,사업자등록번호,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,기획여행보험시작일자,기획여행보험종료일자,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,(주)서강여행사,,,2011-02-14,,207660.883688474,454911.110252938,관광사업,국내외여행업,2026-05-06 22:40:24,I,03,폐업,,,,,,,,2008-12-13,2009-12-12,서울보증보험,2011-02-14 10:20:52,,1996-06-20,131-859,서울특별시 중랑구 상봉동 101 이지팰리스204,CDFI2260021996000001,3060000,,,,,,03,폐업,,,,,,,,,,,,
,,(주)초록세계여행사,,,2007-08-20,,208112.860200669,457113.638411288,관광사업,국내외여행업,2026-05-06 22:40:26,I,03,폐업,,,,,,,,,,,2007-08-21 11:15:38,,2000-03-23,131-872,서울특별시 중랑구 신내동 646 금강리빙스텔빌딩 507호,CDFI2260022000000001,3060000,,,,,,03,폐업,,,,,,,02-3421-8253,,,,,
,,GMS투어,,,2004-09-23,,208842.713556665,455205.504339797,관광사업,국내외여행업,2026-05-06 22:40:29,I,03,폐업,,,,0,0,0,,,,,2004-09-23 19:14:33,,2003-03-21,131-802,서울특별시 중랑구 망우동 364-50 215호,CDFI2260022003000003,3060000,,,,,,03,폐업,,,,,,,,0,0,,,
,근린생활시설,주) 와와 여행사,,,2009-05-28,100000000,,,관광사업,국내외여행업,2026-05-06 22:40:33,I,03,폐업,,,,,,5,,,,,2011-03-28 17:41:04,,2005-06-07,131-822,서울특별시 중랑구 면목동 167-10,CDFI2260022005000002,3060000,,,,,,03,폐업,,,,,,,,6,1,,,
,,(주)해피 탑항공,,,2020-08-25,100000000,206810.201157966,457135.056491015,관광사업,국내외여행업,2026-05-06 22:40:33,I,03,폐업,,,,,,,,2019-08-26,2020-08-25,서울보증보험,2020-08-24 09:45:56,,2005-08-24,131-848,서울특별시 중랑구 묵동 166-29,CDFI2260022005000003,3060000,,,,서울특별시 중랑구 중랑역로 269-6 (묵동),,03,폐업,,,,,,,,,,,,
,사무실,우리여행사,,,2008-12-31,100000000,207661.4483404,455671.574410523,관광사업,국내외여행업,2026-05-06 22:40:34,I,03,폐업,,,,84,84,,,,,,2009-07-30 14:55:11,,2007-04-24,131-863,서울특별시 중랑구 상봉동 486-1 우암빌딩 302호,CDFI2260022007000004,3060000,,,주거지역,,,03,폐업,,,,,,,,9,,,,
,사무실,(주)지구투어네트워크,,,2018-02-28,,206879.914920135,455725.18087545,관광사업,국내외여행업,2026-05-06 22:40:34,I,03,폐업,,,,153.63,154,6,,2018-02-02,2019-02-01,서울보증보험,2019-07-21 16:03:38,,2007-05-31,131-881,서울특별시 중랑구 중화동 307-13 논밭빌딩 3층,CDFI2260022007000005,3060000,,,일반주거지역,서울특별시 중랑구 동일로 823 (중화동),02014,03,폐업,,,,,,,1566-3035,,1,,,
,,(주)두영에어시스템,,,2009-10-05,100000000,208842.713556665,455205.504339797,관광사업,국내외여행업,2026-05-06 22:40:35,I,03,폐업,,,,,,,,,,,2009-10-29 09:28:00,,2008-03-04,131-802,서울특별시 중랑구 망우동 364-50 아름빌딩 205호,CDFI2260022008000001,3060000,,,,,,03,폐업,,,,,,,22075482,,,,,
,,1st Tour,,,2009-09-30,100000000,208842.713556665,455205.504339797,관광사업,국내외여행업,2026-05-06 22:40:35,I,03,폐업,,,,,,,,,,,2009-10-22 13:16:27,,2008-07-07,,서울특별시 중랑구 망우동 364-50 아름빌딩 301호,CDFI2260022008000002,3060000,,,,,,03,폐업,,,,,,,,,,,,
,근린생활시설,에이지투어,,,2009-12-22,100000000,208574.566606995,455201.404791635,관광사업,국내외여행업,2026-05-06 22:40:35,I,03,폐업,,,,132,132,8,,,,,2011-04-06 11:24:31,,2008-12-17,131-810,서울특별시 중랑구 망우동 470-11 기성빌딩 2층,CDFI2260022008000003,3060000,,,일반주거지역,,,03,폐업,,,기타,,,,,13,3,,,
