아세틸렌수,사업장명,폐업일자,원심주조기수,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,치과용프레스수,상세영업상태코드,상세영업상태명,기공용컴프레서수,기공용레스수,기공용모터수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,핀덱스수,포셀린로수,전기로수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,샌드기수,서베이어수,휴업시작일자,휴업종료일자,소재지전화번호,트리머수,초음파청소기수,진공매몰기수,진동기수
1,예림치과기공소,2011-03-23,1,203306.556907212,461561.615483904,2026-05-06 22:35:22,I,1,03,폐업,,1,2,2011-03-23 14:55:30,,2004-12-16,132-893,서울특별시 도봉구 쌍문2동 644번지,PHMB320043090033062300001,3090000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,에이펙스치과기공소,2020-07-10,1,203394.986722653,461478.663834333,2026-05-06 22:35:22,I,1,03,폐업,1,1,2,2020-07-10 13:07:03,,2004-12-23,,서울특별시 도봉구 창동 715번지 8호,PHMB320043090033062300002,3090000,1,1,1,서울특별시 도봉구 도봉로 570 (창동),01426,03,폐업,1,1,,,02-999-2807,1,1,1,1
1,Glory치과기공소,2016-08-02,1,202990.966469955,460865.293823829,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2016-08-02 15:06:58,,2005-07-14,132-866,서울특별시 도봉구 쌍문3동 88번지 16호,PHMB320053090033062300002,3090000,1,1,1,서울특별시 도봉구 노해로60길 23 (쌍문동),01442,03,폐업,1,1,,,02-316-7316,1,1,1,1
1,원치과기공소,2012-03-29,1,203085.515171933,461181.898286325,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2012-03-29 14:31:31,,2007-02-23,132-863,서울특별시 도봉구 쌍문2동 81번지 234호,PHMB320073090033062300001,3090000,1,1,1,서울특별시 도봉구 도봉로123길 22 (쌍문동),,03,폐업,1,1,,,02-907-2888,1,1,1,1
1,TEM치과기공소,2012-10-31,1,204006.844691966,461636.276370961,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2012-10-31 09:36:20,,2009-06-12,142-061,서울특별시 강북구 번1동 금호어울림아파트 102 1707,PHMB320093090033062300002,3090000,1,1,1,"서울특별시 도봉구 마들로13길 153 (창동, 옥산빌딩 101호)",,03,폐업,1,1,,,,1,1,1,1
1,제이티치과기공소,2010-05-17,1,203071.568977276,461437.490682857,2026-05-06 22:35:23,I,1,03,폐업,,1,2,2011-03-21 15:49:04,,2009-09-07,132-862,서울특별시 도봉구 쌍문2동 69번지 34호,PHMB320093090033062300003,3090000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,맑음치과기공소,2010-12-03,1,204247.213401781,461131.830916668,2026-05-06 22:35:23,I,1,03,폐업,,1,2,2011-01-03 15:20:27,,2010-05-14,132-898,서울특별시 도봉구 창4동 5번지 1호 킹프라자2층 204호,PHMB320103090033062300002,3090000,,1,1,,,03,폐업,,1,,,02-503-2805,1,1,,1
1,뉴욕치과기공소,2012-12-14,1,203155.795411356,462559.959943125,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2012-12-14 16:58:22,,2010-12-24,132-848,서울특별시 도봉구 방학2동 661번지 8호 2층,PHMB320103090033062300004,3090000,1,1,1,서울특별시 도봉구 도당로 87 (방학동),,03,폐업,1,1,,,,1,1,1,1
1,베스트치과기공소,2011-12-02,1,203183.603351629,462020.595799549,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2011-12-02 18:09:12,,2011-08-22,132-858,서울특별시 도봉구 쌍문2동 26번지 21호,PHMB320113090033062300003,3090000,1,1,1,서울특별시 도봉구 도봉로139길 86 (쌍문동),,03,폐업,1,1,,,,1,1,1,1
1,치아생각치과기공소,2021-11-23,1,204004.945534634,461048.885008795,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2021-11-23 18:01:14,,2011-11-07,132-908,서울특별시 도봉구 창5동 333번지 2호 801호,PHMB320113090033062300004,3090000,1,1,1,서울특별시 도봉구 노해로65길 11 (창동),01405,03,폐업,1,1,,,02-998-7312,1,1,1,1
1,도봉예 덴탈 스튜디오,2019-12-26,1,203663.222587199,462505.455032714,2026-05-06 22:35:23,I,1,03,폐업,1,1,3,2019-12-26 13:09:51,,2014-01-16,,,PHMB320143090033062300001,3090000,1,1,1,"서울특별시 도봉구 도봉로 677, 5층 (방학동, 우리들메디빌딩)",01340,03,폐업,1,1,,,,1,1,1,1
1,코스메틱치과기공소,2020-05-25,1,202943.747074384,460414.868535121,2026-05-06 22:35:23,I,1,03,폐업,1,1,2,2020-05-25 10:24:23,,2014-01-20,,,PHMB320143090033062300002,3090000,1,1,1,서울특별시 도봉구 도봉로110길 12 (창동),01459,03,폐업,1,1,2019-12-26,2020-05-25,02-956-3939,1,1,1,1
1,대도치과기공소,2014-10-17,1,203183.603351629,462020.595799549,2026-05-06 22:35:23,I,1,03,폐업,1,1,3,2014-10-17 16:56:11,,2014-06-02,132-858,서울특별시 도봉구 쌍문동 26번지 21호,PHMB320143090033062300003,3090000,1,1,1,서울특별시 도봉구 도봉로139길 86 (쌍문동),,03,폐업,1,1,,,,1,1,1,1
1,월드치과기공소,2017-03-17,1,203183.603351629,462020.595799549,2026-05-06 22:35:23,I,1,03,폐업,1,1,4,2017-04-28 15:36:10,,2015-06-12,132-030,서울특별시 도봉구 쌍문동 26번지 21호,PHMB320153090033062300001,3090000,1,2,2,서울특별시 도봉구 도봉로139길 86 (쌍문동),01393,03,폐업,2,2,,,,1,1,1,1
1,세창치과기공소,2025-10-23,1,204063.565019682,461204.628081227,2026-05-06 22:35:24,I,1,03,폐업,1,1,2,2025-10-23 10:30:04,,1976-12-21,,서울특별시 도봉구 창동 135-14,PHMB320223090033062300001,3090000,1,1,1,"서울특별시 도봉구 노해로63다길 6, 4층 1호 (창동)",01399,03,폐업,1,1,,,,1,1,1,1
1,우리치과기공소,2012-12-21,1,176734.926420299,448473.995463229,2026-05-06 22:32:05,I,1,03,폐업,1,1,2,2012-12-21 13:30:02,,2008-04-11,407-310,인천광역시 계양구 용종동 210번지 6호 (401호),PHMB320003550020062300001,3550000,1,1,1,"인천광역시 계양구 계산새로 85 (용종동,(401호))",,03,폐업,1,1,,,,1,1,1,1
1,뉴마스터치과기공소,2018-08-31,1,174033.371693526,447402.441498361,2026-05-06 22:32:05,I,1,03,폐업,1,1,5,2018-08-31 17:41:36,,2001-01-18,,인천광역시 계양구 효성동 188번지 10호 2층,PHMB320013550020062300001,3550000,1,1,1,"인천광역시 계양구 봉오대로518번길 15, 2층 (효성동)",21103,03,폐업,1,1,,,,1,1,1,1
1,케이투기공소,2015-11-30,1,175549.13037096,449336.350515397,2026-05-06 22:32:05,I,1,03,폐업,1,1,2,2015-11-30 15:23:26,,2002-01-10,407-801,인천광역시 계양구 계산2동 899번지 1호   202호,PHMB320023550020062300001,3550000,1,1,1,인천광역시 계양구 하느재로19번길 8 (계산동),21038,03,폐업,1,1,,,,1,1,1,1
1,개구쟁이치과기공소,2009-04-30,1,175652.299386358,448744.765013907,2026-05-06 22:32:05,I,1,03,폐업,,1,2,2010-01-13 17:46:26,,2005-01-06,407-807,인천광역시 계양구 계산1동 954번지 19호 서해상가(2층),PHMB320053550020062300001,3550000,,1,1,"인천광역시 계양구 주부토로501번길 34 (계산동,서해상가(2층))",,03,폐업,,1,,,,1,1,,1
1,미추기공소,2023-03-06,1,175501.179936933,447841.556512581,2026-05-06 22:32:05,I,1,03,폐업,1,1,2,2023-03-06 11:34:40,,2007-07-23,407-824,인천광역시 계양구 작전2동 863번지 33호,PHMB320073550020062300001,3550000,1,1,1,인천광역시 계양구 작전시장로 8 (작전동),,03,폐업,1,1,,,,1,1,1,1
1,샤인치과기공소,2012-01-13,1,175869.087785462,448238.257640553,2026-05-06 22:32:06,I,1,03,폐업,1,1,2,2012-01-13 11:02:14,,2007-11-21,407-823,인천광역시 계양구 작전2동 857번지 49호  (302호),PHMB320073550020062300003,3550000,1,1,1,"인천광역시 계양구 주부토로 469 (작전동,(302호))",,03,폐업,1,1,,,,1,1,1,1
1,마루치과기공소,2010-12-30,1,175895.622787616,449002.664376827,2026-05-06 22:32:06,I,1,03,폐업,,1,2,2010-12-30 13:54:19,,2009-10-15,407-806,인천광역시 계양구 계산1동 946번지 6호 계산메가타운 204호,PHMB320093550020062300002,3550000,,1,1,"인천광역시 계양구 경명대로 1090 (계산동,계산메가타운 204호)",,03,폐업,,1,,,,1,1,,1
1,작전치과기공소,2012-03-24,3,175683.570157844,447314.682431155,2026-05-06 22:32:06,I,1,03,폐업,1,1,2,2012-03-23 14:37:58,,2010-01-27,407-816,인천광역시 계양구 작전2동 416번지 2호 4층,PHMB320103550020062300001,3550000,1,1,1,"인천광역시 계양구 효서로 266 (작전동,4층)",,03,폐업,1,1,,,,1,4,1,1
1,명품치과기공소,2011-09-15,1,175895.622787616,449002.664376827,2026-05-06 22:32:06,I,1,03,폐업,,1,2,2011-09-15 16:21:03,,2011-02-14,407-806,인천광역시 계양구 계산1동 946번지 6호   204호,PHMB320113550020062300001,3550000,,1,1,"인천광역시 계양구 경명대로 1090, 204호 (계산동)",,03,폐업,,1,,,032-548-1803,1,1,,1
1,해인기공소,2017-11-07,1,175549.13037096,449336.350515397,2026-05-06 22:32:07,I,1,03,폐업,1,1,2,2017-11-07 16:52:05,,2012-03-13,407-801,"인천광역시 계양구 계산2동 899번지 1호 극동상가 205,206호",PHMB320123550020062300001,3550000,1,1,1,"인천광역시 계양구 하느재로19번길 6, 205,206호 (계산동, 극동상가)",21038,03,폐업,1,1,,,032-541-5703,1,1,1,1
1,사랑치과기공소,2016-03-31,1,175683.570157844,447314.682431155,2026-05-06 22:32:07,I,1,03,폐업,1,1,2,2016-03-31 14:37:33,,2012-03-26,407-816,인천광역시 계양구 작전2동 416번지 2호 4층,PHMB320123550020062300002,3550000,1,1,1,인천광역시 계양구 효서로 266 (작전동),21120,03,폐업,1,1,,,070-8679-1100,1,1,1,1
1,에이원치과기공소,2015-01-16,1,175354.090008562,448915.316204222,2026-05-06 22:32:07,I,1,03,폐업,1,1,3,2015-01-16 15:45:13,,2014-05-09,407-806,인천광역시 계양구 계산1동 942번지,PHMB320123550020062300003,3550000,1,1,2,인천광역시 계양구 계양대로205번길 5 (계산동),,03,폐업,2,1,,,032-549-2804,1,1,1,1
1,인우치과기공소,2012-07-06,1,167642.165947682,440939.195281611,2026-05-06 22:32:04,I,1,03,폐업,1,1,2,2012-12-20 14:25:44,,1983-02-22,400-130,인천광역시 중구 율목동 83번지,PHMB319833490019062300001,3490000,1,1,1,인천광역시 중구 서해대로483번길 31-9 (율목동),,03,폐업,1,1,,,,1,1,1,1
1,일신치과기공소,2018-10-26,1,167130.595674487,441278.692315105,2026-05-06 22:32:04,I,1,03,폐업,1,1,2,2018-10-26 10:25:07,,1983-03-22,400-150,인천광역시 중구 내동 198번지 1호 3층,PHMB319833490019062300002,3490000,1,1,1,"인천광역시 중구 우현로 67 (내동,3층)",,03,폐업,1,1,,,032-773-9737,1,1,1,1
1,인영치과기공소,2021-11-01,1,167792.90825761,440679.03891688,2026-05-06 22:32:04,I,1,03,폐업,1,1,2,2022-02-25 17:56:49,,1999-08-11,400-140,인천광역시 중구 도원동 26번지 32호 1층,PHMB319993490019062300001,3490000,1,1,1,"인천광역시 중구 도원서길 46 (도원동,1층)",,03,폐업,1,1,,,032-881-6519,1,1,1,1
1,아름 치과기공소,2016-01-20,1,167727.919418813,440465.565917994,2026-05-06 22:32:05,I,1,03,폐업,1,1,5,2016-01-20 16:13:10,,2012-08-10,400-110,인천광역시 중구 선화동 39번지 1호,PHMB320123490019062300001,3490000,1,2,2,"인천광역시 중구 서해대로454번길 14, 2층 (선화동)",22329,03,폐업,3,1,,,,1,1,2,1
1,이젠 치과기공소,2019-01-07,2,167218.369063021,441306.534996297,2026-05-06 22:32:05,I,1,03,폐업,1,1,4,2019-01-07 11:24:35,,2016-11-11,,,PHMB320163490019062300002,3490000,1,1,2,"인천광역시 중구 우현로72번길 3, 5층 (용동)",22318,03,폐업,1,1,,,032-777-9222,1,1,1,1
1,엘림치과기공소,2022-02-28,1,167374.571333333,441419.732666666,2026-05-06 22:32:05,I,1,03,폐업,1,1,3,2022-02-28 14:11:38,,2018-10-30,,,PHMB320183490019062300001,3490000,1,1,1,"인천광역시 중구 참외전로 134-1, 신세계약국,거상인력 4층 (인현동)",22318,03,폐업,1,1,,,032-765-2804,1,1,1,1
