건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
근린생활시설,프로젝트박스 시야,2018-12-07,199588.180400963,447128.792445076,공연장,공연장,2026-05-06 22:35:35,I,03,폐업,,,,,2018-12-07 15:58:12,,2012-02-14,140-809,서울특별시 용산구 동빙고동 1-102,CDFE1230002012000001,3020000,,서울특별시 용산구 장문로 60 (동빙고동),,03,폐업,,,,070-7606-5573,,
,문화극장,2015-03-31,197907.622016666,448229.955586627,공연장,공연장,2026-05-06 22:35:35,I,03,폐업,,,,,2015-04-01 13:13:52,,2012-04-06,140-021,서울특별시 용산구 용산동1가 8 전쟁기념관,CDFE1230002012000002,3020000,,"서울특별시 용산구 이태원로 29 (용산동1가, 전쟁기념관)",,03,폐업,,,,02-797-7608,,
문화시설,동자아트홀,2014-07-18,197563.069805939,449934.157783456,공연장,공연장,2026-05-06 22:35:35,I,03,폐업,,,,,2014-09-01 14:07:10,,2014-02-25,140-170,서울특별시 용산구 동자동 45 센트레빌아스테리움서울 KDB생명타워 지하2층 B200호,CDFE1230002014000001,3020000,일반상업지역,"서울특별시 용산구 한강대로 372, 지하2층 B200호 (동자동, 센트레빌아스테리움서울 KDB생명타워)",,03,폐업,,,,1666-9896,1,2
근린생활시설,한국즉흥극장,2019-03-15,197295.658078644,449099.646875153,공연장,공연장,2026-05-06 22:35:35,I,03,폐업,,,,,2019-03-15 14:41:51,,2017-05-16,,서울특별시 용산구 청파동3가 24-45,CDFE1230002017000001,3020000,,"서울특별시 용산구 청파로45길 5, 지층 (청파동3가)",04313,03,폐업,,,,,,
근린생활시설,코리아블루스씨어터,2023-11-15,197295.658078644,449099.646875153,공연장,공연장,2026-05-06 22:35:36,I,03,폐업,,,,3,2023-11-15 17:28:02,,2019-06-07,,서울특별시 용산구 청파동3가 24-45,CDFE1230002019000001,3020000,,"서울특별시 용산구 청파로45길 5, 지층 (청파동3가)",04313,03,폐업,,,,070-4038-3686,,1
,세계평화운동 커뮤니티센터 월드피스존,2023-12-06,198644.481059659,449268.543468484,공연장,공연장,2026-05-06 22:35:36,I,03,폐업,,,,,2023-12-29 16:58:17,,2019-12-12,,서울특별시 용산구 용산동2가 17,CDFE1230002019000004,3020000,,"서울특별시 용산구 신흥로 89, 4층 (용산동2가)",04338,03,폐업,,,,,,
근린생활시설,베톤부르트,2024-08-26,199506.018811524,447987.235079236,공연장,공연장,2026-05-06 22:35:36,I,03,폐업,,,,1,2024-08-26 11:14:31,,2021-07-06,,서울특별시 용산구 이태원동 127-22,CDFE1230002021000001,3020000,,"서울특별시 용산구 보광로60길 17, 1층 (이태원동)",04406,03,폐업,,,,,1,
,(주)코끼리월드,2005-04-28,,,공연장,공연장,2026-05-06 22:36:59,I,03,폐업,,,,,2005-04-28 16:48:54,,2003-06-19,406-050,인천광역시 연수구 옥련동 504,CDFE1230002003000001,3520000,,,,03,폐업,,,,,,
,비류 공연장,2009-10-25,166876.501171549,431906.933733965,공연장,공연장,2026-05-06 22:36:59,I,03,폐업,,,,,2011-01-10 17:57:20,,2009-08-04,406-840,인천광역시 연수구 송도동 32-5,CDFE1230002009000001,3520000,,,,03,폐업,,,,032-440-7969,,
,워터 퍼펫(Water Puppet),2009-10-25,166876.501171549,431906.933733965,공연장,공연장,2026-05-06 22:36:59,I,03,폐업,,,,,2011-01-10 17:56:45,,2009-08-06,406-840,인천광역시 연수구 송도동 32-5,CDFE1230002009000002,3520000,,,,03,폐업,,,,070-7790-8843,,
