사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,약국영업면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
관악메디칼약국,,,,2026-05-06 22:32:54,I,2003-05-06,03,폐업,2008-12-15 09:18:31,,2003-05-06,151-051,서울특별시 관악구 보라매동 968-36,PHMD120033200033084000011,3200000,88,,,03,폐업,,,02-884-0451
구의까치약국,2025-12-18,208155.077711558,448549.66660547,2026-05-06 22:31:52,I,2025-02-12,03,폐업,2025-12-18 16:04:50,,2025-02-12,,서울특별시 광진구 구의동 218-11,PHMD120253040033084000001,3040000,40,"서울특별시 광진구 아차산로 456, 1층 일부호 (구의동)",05047,03,폐업,,,02-455-0558
중앙프라자약국,,,,2026-05-06 22:32:54,I,2003-05-20,03,폐업,2008-12-15 09:18:31,,2003-05-20,151-014,서울특별시 관악구 신사동 527-9,PHMD120033200033084000012,3200000,0,,,03,폐업,,,02-839-0009
보룡약국,,,,2026-05-06 22:32:54,I,2003-05-26,03,폐업,2008-12-15 09:18:31,,2003-05-26,151-056,서울특별시 관악구 행운동 35-1,PHMD120033200033084000013,3200000,0,,,03,폐업,,,02-873-3389
우림시장약국,,,,2026-05-06 22:32:54,I,2003-05-26,03,폐업,2008-12-15 09:18:31,,2003-05-26,151-013,서울특별시 관악구 난곡동 638-47,PHMD120033200033084000014,3200000,19,,,03,폐업,,,02-854-3254
오아시스약국,,,,2026-05-06 22:32:54,I,2003-06-03,03,폐업,2008-12-15 09:18:31,,2003-06-03,151-013,서울특별시 관악구 난곡동 705-2,PHMD120033200033084000015,3200000,24,,,03,폐업,,,02-854-5960
강남약국,,,,2026-05-06 22:32:54,I,2003-06-12,03,폐업,2008-12-15 09:18:31,,2003-06-12,151-069,서울특별시 관악구 은천동 902-18,PHMD120033200033084000017,3200000,22,,,03,폐업,,,02-886-2987
세브란스약국,,,,2026-05-06 22:32:54,I,2003-06-18,03,폐업,2008-12-15 09:18:31,,2003-06-18,151-018,서울특별시 관악구 조원동 543-7,PHMD120033200033084000018,3200000,0,,,03,폐업,,,02-869-4270
보룡약국,,,,2026-05-06 22:32:54,I,2003-06-20,03,폐업,2008-12-15 09:18:31,,2003-06-20,151-056,서울특별시 관악구 행운동 35-1,PHMD120033200033084000019,3200000,52,,,03,폐업,,,02-873-3389
종문약국,,,,2026-05-06 22:32:54,I,2003-07-01,03,폐업,2008-12-15 09:18:31,,2003-07-01,151-061,서울특별시 관악구 인헌동 1644-4,PHMD120033200033084000021,3200000,0,,,03,폐업,,,02-884-3507
세브란스약국,,,,2026-05-06 22:32:54,I,2003-07-04,03,폐업,2008-12-15 09:18:31,,2003-07-04,151-018,서울특별시 관악구 조원동 543-7,PHMD120033200033084000023,3200000,0,,,03,폐업,,,02-869-4270
우리들약국,,,,2026-05-06 22:32:54,I,2003-07-07,03,폐업,2008-12-15 09:18:31,,2003-07-07,151-013,서울특별시 관악구 난곡동 617-7,PHMD120033200033084000024,3200000,58,,,03,폐업,,,02-864-0250
노란약국,,,,2026-05-06 22:32:54,I,2003-08-01,03,폐업,2008-12-15 09:18:32,,2003-08-01,151-016,서울특별시 관악구 삼성동 1713-12(1층),PHMD120033200033084000028,3200000,27,,,03,폐업,,,02-889-5550
푸른온누리약국,,,,2026-05-06 22:32:54,I,2003-08-05,03,폐업,2008-12-15 09:18:32,,2003-08-05,151-056,서울특별시 관악구 행운동 1686-21,PHMD120033200033084000029,3200000,33,,,03,폐업,,,02-873-3431
