사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사 보니카,종합몰,,258480.157372113,468054.697428201,2026-05-20 03:03:03,U,01,정상영업,2026-05-19 08:56:18,,2025-02-03,,강원특별자치도 춘천시 남산면 산수리 ***,2025418108130200072,인터넷,4181000,강원특별자치도 춘천시 남산면 산수길 ***-**,24467,,01,영업/정상,,,070-8691-4561
데이지,기타,,166738.734521458,434906.225945604,2026-05-20 03:03:03,U,01,정상영업,2026-05-19 12:16:46,,2023-08-07,,인천광역시 연수구 송도동 ***-* 호반 써밋 송도,2023352023330202206,인터넷,3520000,"인천광역시 연수구 랜드마크로 **, ***동 ***호 (송도동, 호반 써밋 송도)",22019,,01,영업/정상,,,
선데이즈(SUNDAYS),종합몰,2026-05-19,218920.080897384,418425.915010283,2026-05-20 03:03:03,U,03,폐업처리,2026-05-19 09:29:00,,2024-09-26,,경기도 용인시 처인구 포곡읍 둔전리 ***-** 대두빌딩,2024562002730202614,인터넷,4050000,"경기도 용인시 처인구 포곡읍 포곡로 **, *층 ***호 Y***(대두빌딩)",17027,,03,폐업,,,
디지아이(DGI),기타,2026-05-19,203816.560646558,443801.150238448,2026-05-20 03:03:03,U,03,폐업처리,2026-05-19 08:01:44,,2020-01-08,,서울특별시 강남구 역삼동 ***번지 **호,2020322023630200206,인터넷,3220000,"서울특별시 강남구 언주로**길 **, ***호 (역삼동)",06226,,03,폐업,,,
코네(CONE),의류/패션/잡화/뷰티,,206634.354322264,458078.053769467,2026-05-20 03:03:03,U,01,정상영업,2026-05-19 09:39:38,,2018-07-27,,서울특별시 노원구 공릉동 ***-*,2018310018430200750,인터넷,3100000,"서울특별시 노원구 동일로***길 **-*, *층 (공릉동)",01843,,01,영업/정상,,,
케이티커머스 주식회사,기타,,208679.63646503,442947.075681679,2026-05-20 03:03:03,U,01,정상영업,2026-05-19 11:37:19,,2004-03-31,,서울특별시 강남구 수서동 ***번지 케이티수서지점 *층,2004322008330205168,기타,3220000,"서울특별시 강남구 광평로**길 ** (수서동,케이티수서지점 *층)",,,01,영업/정상,,,02-767-0803
주식회사 스스디,가구/수납용품,,219761.9264013,422433.344817294,2026-05-20 03:03:03,U,01,정상영업,2026-05-19 09:22:05,,2016-08-26,,경기도 용인시 처인구 포곡읍 유운리 ***-*,2016562002730200335,"TV홈쇼핑, 인터넷",4050000,"경기도 용인시 처인구 포곡읍 곡현로***번길 *-*, ***호",17022,,01,영업/정상,,,070-4235-8898
럭키푸드,의류/패션/잡화/뷰티 레져/여행/공연 기타,2026-05-19,211740.587015459,454704.4116651,2026-05-20 03:03:03,U,03,폐업처리,2026-05-19 16:21:49,,2025-05-08,,경기도 구리시 교문동 ***-**,2025398012930200428,"TV홈쇼핑, 인터넷, 카다로그, 신문잡지",3980000,"경기도 구리시 안골로**번길 **-**, *층 ***호 (교문동)",11935,,03,폐업,,,
라이트랩,종합몰,,160950.274334927,442847.452738572,2026-05-20 03:03:03,U,01,정상영업,2026-05-19 17:47:37,,2020-02-17,,인천광역시 중구 중산동 ****-* 스카이에비뉴*,2024349022930200108,인터넷,3490000,"인천광역시 중구 하늘중앙로***번길 **, 스카이에비뉴* ***호 (중산동)",22402,,01,영업/정상,,,061-533-2277
복사꽃마을협동조합,레져/여행/공연,,356289.090341001,487871.058136189,2026-05-20 03:03:03,U,01,정상영업,2026-05-19 17:13:17,,2017-06-02,,강원특별자치도 강릉시 주문진읍 장덕리 ***-** 복사꽃정보마을센타,2017420025230200134,인터넷,4201000,"강원특별자치도 강릉시 주문진읍 신리천로 ***-*, 복사꽃정보마을센타 *층",25402,,01,영업/정상,,,033-661-5207
