건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,주식회사 크로니카,,202789.692329185,454049.551940162,,,2026-05-20 22:07:30,I,13,영업중,,,,,2026-05-19 09:16:02,,2026-05-19,,서울특별시 성북구 안암동*가 *-* 고려대학교안암캠퍼스,CDFF3241092026000003,3070000,,"서울특별시 성북구 안암로 ***, 고려대학교안암캠퍼스 경영대학 본관 *층 ***호 (안암동*가)",02841,01,영업/정상,,,,,,
,재즈 레거시 서울,,195900.709427813,449728.629171661,,,2026-05-20 22:08:08,I,13,영업중,,,,,2026-05-19 09:26:57,,2026-05-19,,서울특별시 마포구 공덕동 *** 마포현대하이엘,CDFF3241092026000038,3130000,,"서울특별시 마포구 마포대로 ***, 마포현대하이엘 **층 ****호 (공덕동)",04130,01,영업/정상,,,,,,
,주식회사 미드나잇웨이브,,192406.256365353,449178.877505002,,,2026-05-20 22:08:08,I,13,영업중,,,,,2026-05-19 10:36:39,,2026-05-19,,서울특별시 마포구 합정동 **-*,CDFF3241092026000039,3130000,,"서울특별시 마포구 토정로*길 **, 지하*층 (합정동)",04085,01,영업/정상,,,,070-8080-4913,,
,주식회사 파노라마매니지먼트,,199407.158077969,443409.238045681,,,2026-05-20 22:07:30,I,13,영업중,,,,,2026-05-19 13:50:33,,2026-05-19,,서울특별시 서초구 방배동 ***-* 태화빌라,CDFF3241092026000025,3210000,,"서울특별시 서초구 서초대로**길 ***, ***호 (방배동, 태화빌라)",06585,01,영업/정상,,,,,,
,주식회사 엔이원하우스,,208877.849829013,444913.475416514,,,2026-05-20 22:07:30,I,13,영업중,,,,,2026-05-19 14:18:27,,2026-05-19,,서울특별시 송파구 석촌동 ***-* 수정빌딩,CDFF3241092026000013,3230000,,"서울특별시 송파구 석촌호수로**길 *, 지하 비***호 (석촌동)",05610,01,영업/정상,,,,,,
,주식회사 한국판다문체산업,,179048.796713806,426090.75785651,,,2026-05-20 21:37:30,I,13,영업중,,,,,2026-05-19 17:04:55,,2026-05-19,,경기도 안산시 단원구 신길동 ****-**,CDFF3241092026000003,3930000,,"경기도 안산시 단원구 신길중앙로*길 **, 신길프라자 *층 (신길동)",15398,01,영업/정상,,,,,,
,캄포안랩(CAMPOAHN LAB),,,,,,2026-05-20 21:07:30,I,13,영업중,,,,,2026-05-19 10:07:25,,2026-05-19,,경기도 고양시 덕양구 덕은동 ***,CDFF3241092026000031,3940000,,"경기도 고양시 덕양구 청초로 **, 제비동 ***호 (덕은동)",10543,01,영업/정상,,,,,,
,주식회사 퍼레이드이앤엠,,190852.10154357,455959.794666566,,,2026-05-20 21:07:30,I,13,영업중,,,,,2026-05-19 10:28:44,,2026-05-19,,경기도 고양시 덕양구 향동동 ***,CDFF3241092026000032,3940000,,"경기도 고양시 덕양구 향기로 ***, 제티-****호 (향동동)",10546,01,영업/정상,,,,,,
,(주)오르카뮤직,,,,,,2026-05-20 21:07:30,I,13,영업중,,,,,2026-05-19 16:51:27,,2025-10-14,,경기도 고양시 덕양구 덕은동 ***-* 덕은DMC 아이에스비즈타워 센트럴 *차,CDFF3241092026000033,3940000,,"경기도 고양시 덕양구 청초로 **, 덕은DMC 아이에스비즈타워 센트럴 *차 비동 ***호 (덕은동)",10542,01,영업/정상,,,,,,
,주식회사 씨와이피,,176401.150866252,431915.114025949,,,2026-05-20 21:37:30,I,13,영업중,,,,,2026-05-19 14:17:40,,2026-05-19,,경기도 시흥시 월곶동 ****-* 가동,CDFF3241092026000001,4010000,,"경기도 시흥시 월곶해안로 ***, 가동 (월곶동)",14963,01,영업/정상,,,,,,
,(주)오르카뮤직,2026-05-19,192903.638159026,449973.967661201,유통관련업,대중문화예술기획업,2026-05-20 03:03:03,U,15,전출,"음악, 방송, 매니지먼트",,,,2026-05-19 16:36:14,,2025-10-14,,서울특별시 마포구 서교동 ***-**,CDFF3241092025000072,3130000,,"서울특별시 마포구 잔다리로*길 **-*, *층 (서교동)",04042,05,제외/삭제/전출,,,,,,
