사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
SK건강,,198116.787315207,442932.886072206,2026-05-20 03:03:03,U,15,전출,2026-05-19 10:54:37,,2023-12-05,,서울특별시 동작구 사당동 **-***,PHMG120253190033047000049,3190000,"서울특별시 동작구 동작대로**길 **, *층 (사당동)",06997,05,제외/삭제/전출,,,,88.44
드림보청기,2026-05-19,202128.028000567,459379.778436598,2026-05-20 03:03:03,U,03,폐업,2026-05-19 14:56:07,,2012-02-06,142-867,서울특별시 강북구 번*동 ***번지 **호 글로리타워 **층,PHMG120123080033047000012,3080000,"서울특별시 강북구 도봉로 ***, **층 (번동, 글로리타워)",01062,03,폐업,,,62310102,
(주)코리아세븐 수원우만2점,,202806.145911258,420473.052445706,2026-05-20 03:03:03,U,13,영업중,2026-05-19 18:05:08,,2024-02-28,,경기도 수원시 팔달구 우만동 ***-*,PHMG120243740033047000014,3740000,경기도 수원시 팔달구 팔달문로***번길 ** (우만동),16236,01,영업/정상,,,,
(주)코리아세븐 의정부가능3호점,,202404.312055469,471173.470245056,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:31:20,,2021-05-06,,경기도 의정부시 가능동 ***-**,PHMG120213820050047000047,3820000,"경기도 의정부시 호국로 ****, *층 (가능동)",11658,01,영업/정상,,,,51.87
(주)코리아세븐오산쌍용예가점,,205914.872698949,407848.121901586,2026-05-20 03:03:03,U,13,영업중,2026-05-19 16:53:19,,2021-05-04,,경기도 오산시 내삼미동 *** 세교 쌍용 예가 NHF,PHMG120214000018047000016,4000000,"경기도 오산시 내삼미로 ***, 상가동 (내삼미동, 세교 쌍용 예가 NHF)",18113,01,영업/정상,,,,1.2
(주)코리아세븐 용인위브점,,214996.635920554,415285.867620118,2026-05-20 03:03:03,U,13,영업중,2026-05-19 08:04:55,,2022-03-25,,,PHMG120224050147047000186,4050000,"경기도 용인시 처인구 지삼로***번길 **, 근린시설동 *호 (삼가동, 용인 행정타운 두산위브 *단지)",17091,01,영업/정상,,,,
엠엔제이코리아,2026-05-18,192949.350677183,442285.117236689,2026-05-20 03:03:03,U,03,폐업,2026-05-19 09:45:08,,2024-10-24,,서울특별시 관악구 신림동 ****-** 영흥빌딩,PHMG120243200033047000089,3200000,"서울특별시 관악구 남부순환로 ****, 영흥빌딩 지하*층 (신림동)",08773,03,폐업,,,,
(주)코리아세븐 오산세교대림점,,202363.871214096,407388.915153564,2026-05-20 03:03:03,U,13,영업중,2026-05-19 16:52:21,,2023-05-19,,경기도 오산시 지곶동 *** e편한세상 오산세교,PHMG120234000018047000026,4000000,"경기도 오산시 세마문학로 **, ***~***호 (지곶동, e편한세상 오산세교)",18102,01,영업/정상,,,,
코리아세븐오산복합물류센터점,,205901.047674668,404431.015792259,2026-05-20 03:03:03,U,13,영업중,2026-05-19 17:03:48,,2021-05-07,,경기도 오산시 오산동 ***-*,PHMG120214000018047000026,4000000,"경기도 오산시 오산로 ***, 오산DC *층 (오산동)",18137,01,영업/정상,,,,57.8
코리아세븐 인천간석점,,174695.560663386,440154.103615245,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:20:12,,2021-05-07,,인천광역시 남동구 간석동 **-*,PHMG120213530019047000075,3530000,"인천광역시 남동구 용천로 ***, *층 ***호 (간석동)",21546,01,영업/정상,,,,508.07
세븐일레븐 구래이너매스점,,166838.78,460363.05,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:27:33,,2021-05-03,,경기도 김포시 구래동 ****-* 이너매스한강,PHMG120214090023047000070,4090000,"경기도 김포시 김포한강*로**번길 ***, 이너매스한강 ***호 (구래동)",10071,01,영업/정상,,,,
세븐일레븐 김포양곡2단지점,,167169.668323906,461931.527952103,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:30:49,,2024-06-19,,경기도 김포시 양촌읍 양곡리 ****,PHMG120244090023047000086,4090000,"경기도 김포시 양촌읍 양곡*로**번길 **, *층 *,*호",10060,01,영업/정상,,,,
(주)코리아세븐 의정부신도점,,204341.300014048,469327.920190826,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:29:35,,2022-02-15,,경기도 의정부시 호원동 ***-*,PHMG120223820050047000132,3820000,경기도 의정부시 회룡로 ***(호원동),11703,01,영업/정상,,,,
(주)코리아세븐 의정부종합운동장점,,202609.270807181,473026.757529776,2026-05-20 03:03:03,U,13,영업중,2026-05-19 11:34:32,,2024-01-10,,경기도 의정부시 녹양동 ***-*,PHMG120243820050047000003,3820000,"경기도 의정부시 진등로**번길 **, *층 (녹양동)",11606,01,영업/정상,,,,
코리아세븐 인천간석4호점,,174138.491062183,440305.649432691,2026-05-20 03:03:03,U,13,영업중,2026-05-19 20:11:21,,2021-05-07,,인천광역시 남동구 간석동 ***-* 대원프라자,PHMG120213530019047000073,3530000,"인천광역시 남동구 남동대로 ***, 대원프라자 *층 일부호 (간석동)",21544,01,영업/정상,,,,
(주)코리아세븐 의정부센트럴점,,203772.831832169,470619.109108938,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:29:10,,2021-05-06,,경기도 의정부시 의정부동 *** 센트럴타워,PHMG120213820050047000068,3820000,"경기도 의정부시 시민로 **, 센트럴타워 ***호 (의정부동)",11651,01,영업/정상,,,,44.66
브로딧 눈썹&속눈썹 용인,,213289.883427523,418990.826289573,2026-05-20 03:03:03,U,15,전출,2026-05-19 08:56:14,,2025-02-20,,경기도 용인시 기흥구 중동 ***-* 용인 동백역 현성 더 테라스,PHMG120254050148047000021,4050000,"경기도 용인시 기흥구 동백중앙로 ***, 용인 동백역 현성 더 테라스 *층 ***호 (중동)",17006,05,제외/삭제/전출,,,,55
(주)코리아세븐 고산듀클래스점,,209084.035581152,469607.947595004,2026-05-20 03:03:03,U,13,영업중,2026-05-19 11:33:41,,2022-10-25,,경기도 의정부시 고산동 ***-*,PHMG120223820050047000364,3820000,"경기도 의정부시 문화로 *, A동 ***호 (고산동)",11801,01,영업/정상,,,,
(주)코리아세븐 의정부금오9단지점,,206986.401160535,471716.773110401,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:30:26,,2021-05-06,,경기도 의정부시 신곡동 *** 주공아파트,PHMG120213820050047000073,3820000,"경기도 의정부시 부용로 ***, 주공아파트 상가동 ***-***호 (신곡동)",11773,01,영업/정상,,,,233.27
(주)코리아세븐 오산자이점,,207235.499664278,403114.358482422,2026-05-20 03:03:03,U,13,영업중,2026-05-19 16:50:02,,2022-06-15,,경기도 오산시 청호동 *** 엘리시아아파트,PHMG120224000018047000159,4000000,"경기도 오산시 청호로 **-**, 상가(***동)동 ***~***호 (청호동, 엘리시아아파트)",18151,01,영업/정상,,,,
코리아세븐오산4호점,,206610.86919943,405249.982562117,2026-05-20 03:03:03,U,13,영업중,2026-05-19 16:50:57,,2021-05-07,,경기도 오산시 오산동 ***-* 오산그린프라자,PHMG120214000018047000023,4000000,"경기도 오산시 성호대로 ***, 오산그린프라자 ***,***호 (오산동)",18133,01,영업/정상,,,,3.5
(주)코리아세븐 가능태양점,,202822.15666678,471787.40383658,2026-05-20 03:03:03,U,13,영업중,2026-05-19 09:30:54,,2021-05-06,,경기도 의정부시 가능동 *** 태양마트,PHMG120213820050047000092,3820000,"경기도 의정부시 흥선로**번길 **, 태양마트 *층 (가능동)",11675,01,영업/정상,,,,52.96
(주)코리아세븐 화서문점,,200831.298762286,420384.490177998,2026-05-20 03:03:03,U,13,영업중,2026-05-19 18:06:49,,2022-10-12,,경기도 수원시 팔달구 장안동 ***-**,PHMG120223740033047000156,3740000,"경기도 수원시 팔달구 화서문로**번길 *, *층 (장안동)",16250,01,영업/정상,,,,82.5
(주)코리아세븐 팔달우만점,,202753.502149532,419876.158545039,2026-05-20 03:03:03,U,13,영업중,2026-05-19 18:03:34,,2022-12-21,,경기도 수원시 팔달구 우만동 ***,PHMG120223740033047000181,3740000,경기도 수원시 팔달구 팔달문로***번길 **(우만동),16240,01,영업/정상,,,,
