자동확산소화기대수,건물형태구분명,사업장명,조식제공여부,일산화탄소감지기대수,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,완강기대수,상세영업상태코드,상세영업상태명,피난구유도등개수,유도표지개수,소화기개수,가스누설경보기대수,객실수,주택면적,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,휴대용비상조명등대수,방면적비율,도로명주소,도로명우편번호,화장실수,화장실종류명,영업상태구분코드,영업상태명,단독경보형감지기개수,휴업시작일자,휴업종료일자,소재지전화번호,용도지역,오수처리시설용량
2,,노엘리아,,2,,142960.278533878,467958.120347243,2026-04-17 03:03:03,U,0,1,정상,0,3,3,1,1,94.46,2026-04-16 14:00:54,2025-11-05,270,417-892,인천광역시 강화군 내가면 황청리 820,AGCV035700002025000075,3570000,2,,인천광역시 강화군 내가면 황청포구로 486-1,23017,2,,01,영업/정상,4,,,,계획관리지역,3
3,,원하우스,,1,2026-04-16,219909.477769564,453059.53957197,2026-04-17 03:03:03,U,0,3,폐업,0,3,4,1,2,83,2026-04-16 17:59:37,2025-01-15,105.97,,,AGCV039900002024000028,3990000,6,,경기도 남양주시 와부읍 도곡길 45-53,12269,2,,03,폐업,6,,,,,
0,,원더키즈풀빌라,,0,2026-04-15,,,2026-04-17 03:03:03,U,1,3,폐업,2,0,4,0,4,226.7,2026-04-16 09:14:22,2021-03-29,1688,477-824,경기도 가평군 상면 임초리 산 184,AGCV041600002021000014,4160000,7,227,"경기도 가평군 상면 임초밤안골로 250-3, 1동",12447,5,,03,폐업,10,,,,관리지역,
0,,감나무,,0,2026-04-16,241169.863136917,451055.512508258,2026-04-17 03:03:03,U,0,3,폐업,0,0,3,0,3,134.68,2026-04-16 17:28:42,2020-12-07,853,476-831,경기도 양평군 옥천면 신복리 174,AGCV041700002020000085,4170000,0,,경기도 양평군 옥천면 동막길 80,12505,,,03,폐업,3,,,,계획관리지역,
0,,코코,,0,2026-04-16,239104.735956087,490030.147326654,2026-04-17 03:03:03,U,0,3,폐업,0,2,2,0,2,149.94,2026-04-16 17:17:35,2018-06-29,545,477-842,경기도 가평군 북면 백둔리 638-1,AGCV041600002018000063,4160000,2,150,경기도 가평군 북면 백둔로616번길 20-59,12406,,,03,폐업,2,,,,관리지역,
1,,트리밸리,,3,2026-04-14,279090.592418912,414184.93991929,2026-04-17 03:03:03,U,0,3,폐업,0,3,3,3,4,136.7,2026-04-16 09:03:19,2022-07-04,660,,강원특별자치도 원주시 귀래면 귀래리 102-2,AGCV041910002022000010,4191000,3,137,강원특별자치도 원주시 귀래면 귀래아랫말길 47,26500,3,,03,폐업,8,,,,계획관리지역,4
1,,Clay house(클레이하우스),,1,,362240.871062907,473834.30851037,2026-04-17 03:03:03,U,0,1,정상,0,3,4,0,3,207.5,2026-04-16 09:45:58,2018-01-29,378,,강원특별자치도 강릉시 성산면 위촌리 729번지 3호,AGCV042010002019000393,4201000,4,208,강원특별자치도 강릉시 성산면 양지말길 69,25447,4,,01,영업/정상,4,,,,계획관리지역,
3,,자연을담은집,,3,2026-04-16,254970.891657106,450420.519563601,2026-04-17 03:03:03,U,0,3,폐업,0,3,6,0,3,133.61,2026-04-16 17:28:50,2022-08-23,745,,,AGCV041700002022000028,4170000,6,134,경기도 양평군 용문면 중원산로576번길 57,12512,,,03,폐업,6,,,,자연환경보전지역,4
1,,오월의 언덕,,3,2026-04-16,,,2026-04-17 03:03:03,U,0,3,폐업,0,3,4,0,1,201.79,2026-04-16 17:58:13,2022-05-27,0,,,AGCV042010002022000036,4201000,3,202,강원특별자치도 강릉시 연곡면 홍질목길 24,25430,2,,03,폐업,6,,,,제2종일반주거지역,
6,,노블레스노마드,,1,,269172.640275366,465507.062950847,2026-04-17 03:03:03,U,0,1,정상,0,6,13,0,6,228.51,2026-04-16 10:52:07,2021-02-02,793,,강원특별자치도 홍천군 북방면 장항리 201-27,AGCV042510002021000002,4251000,6,139,강원특별자치도 홍천군 북방면 장항2길 14-7,25116,7,,01,영업/정상,10,,,,생산관리지역,
5,,하늘호수2,,0,2026-04-16,264361.185561732,465336.396314373,2026-04-17 03:03:03,U,1,3,폐업,0,5,9,0,4,220.65,2026-04-16 10:51:55,2021-02-24,980,,강원특별자치도 홍천군 북방면 노일리 904,AGCV042510002021000005,4251000,8,221,강원특별자치도 홍천군 북방면 노일로 336-8,25111,5,,03,폐업,8,,,,생산관리지역,8
