사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
엠에스동물안과병원,,201997.65513961,444838.539761233,2026-04-17 03:03:03,U,0000,정상,2026-04-16 09:26:39,,2026-04-01,189.97,,서울특별시 서초구 반포동 737-18 원빌딩,321000001020260004,3210000,000,"서울특별시 서초구 강남대로 487, 원빌딩 1층 (반포동)",06541,,01,영업/정상,,,02-6925-1396
애니컴 메디컬센터,,200640.466334248,449978.493556843,2026-04-17 03:03:03,U,0000,정상,2026-04-16 14:42:50,,2019-04-01,144,,서울특별시 중구 신당동 353-130,301000001020190003,3010000,000,"서울특별시 중구 다산로 83-1, 3층 (신당동)",04599,,01,영업/정상,,,02-2232-9702
건국대학교 부속 동물병원,,206445.881091692,448922.881688102,2026-04-17 03:03:03,U,0000,정상,2026-04-16 17:03:14,,2013-05-07,1674.45,,서울특별시 광진구 화양동 1,304000001020040003,3040000,L00,서울특별시 광진구 능동로 120 (화양동),05029,,01,영업/정상,,,
24시동탄시티동물의료센터,,205416.501107917,411942.980332719,2026-04-17 03:03:03,U,0000,정상,2026-04-16 13:13:40,,2018-08-22,0,,경기도 화성시 동탄구 반송동 41-1 정일프라자,577000001020180003,5530000,000,"경기도 화성시 동탄구 동탄지성로 126, 정일프라자 109호, 202호 (반송동)",18434,,01,영업/정상,,,031-8003-7533
벤 동물병원,,,,2026-04-17 03:03:03,U,0000,정상,2026-04-16 13:22:22,,2026-04-09,0,,경기도 오산시 가수동 408-4 101호,400000001020260002,4000000,000,"경기도 오산시 초평중앙로 127-4, 101호 (가수동)",18125,,01,영업/정상,,,031-375-8882
경기도동물위생시험소 부설 동물병원,,194146.288771817,418404.19022362,2026-04-17 03:03:03,U,0000,정상,2026-04-16 13:37:30,,2024-02-27,300.36,,경기도 수원시 권선구 금곡동 746-15 경기도동물위생시험소,374000001020240002,3740000,O00,"경기도 수원시 권선구 칠보로1번길 63, 경기도동물위생시험소 (금곡동)",16381,,01,영업/정상,,,031-8008-6300
휴동물의료센터,,213290.327794405,437832.98655024,2026-04-17 03:03:03,U,0000,정상,2026-04-16 19:16:29,,2020-03-11,689,,경기도 성남시 수정구 신흥동 2475,378000001020200002,3780000,000,"경기도 성남시 수정구 산성대로 309, 2층,3층 (신흥동)",13354,,01,영업/정상,,,031-735-7582
본 동물의료센터,,200595.90836099,422245.119156235,2026-04-17 03:03:03,U,0000,정상,2026-04-16 15:14:05,,2015-08-04,1950.3,,경기도 수원시 장안구 송죽동 499 블루버드 빌딩,374000001020150008,3740000,000,"경기도 수원시 장안구 경수대로 937, 블루버드 빌딩 (송죽동)",16305,,01,영업/정상,,,031-248-8275
권앤정 24시수원동물메디컬센터,,204893.089110681,416027.58740846,2026-04-17 03:03:03,U,0000,정상,2026-04-16 13:23:07,,2022-08-26,454.6,,경기도 수원시 영통구 영통동 979-4,374000001020220005,3740000,000,"경기도 수원시 영통구 덕영대로 1509, 1,2(일부)층 (영통동)",16698,,01,영업/정상,,,031-202-0119
서울준동물병원,,195310.864204116,450080.129868689,2026-04-17 03:03:03,U,0000,정상,2026-04-16 11:28:08,,2021-05-24,0,,서울특별시 마포구 염리동 14-149,313000001020210003,3130000,000,"서울특별시 마포구 대흥로24길 24, 마포프레스티지자이상가 B동 107호 (염리동)",04124,,01,영업/정상,,,02-6954-7522
