사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
지에스25S논현역점,,202739.437721334,445786.44928266,제7조의3제3항에따른경우,2026-04-17 03:03:03,U,2024-04-22,0,정상영업,2026-04-16 14:09:56,,2024-04-22,,서울특별시 강남구 논현동 279-67 논현역,2024322024905600032,3220000,"서울특별시 강남구 학동로 지하102, 논현역 지하1층 (논현동)",06110,01,영업/정상,,,
농민회관매점,,198939.951346024,420004.023620364,2009년11월법개정전자료,2026-04-17 03:03:03,U,1999-02-02,5,지정취소,2026-04-16 09:39:03,2026-03-19,1999-02-02,,경기도 수원시팔달구 화서동 436번지 3   호,1999375000505600064,3740000,경기도 수원시 팔달구 수성로 92 (화서동),,04,취소/말소/만료/정지/중지,,,031-293-1726
신촌설렁탕,,203991.150028597,449125.271545534,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2014-10-20,5,지정취소,2026-04-16 10:48:24,2026-04-03,2014-10-20,133-762,서울특별시 성동구 성수동1가 656번지 320호,2014303009105600051,3030000,서울특별시 성동구 왕십리로 80-1 (성수동1가),,04,취소/말소/만료/정지/중지,,,
케빈 편의점,2026-04-16,179437.96451714,463268.068782259,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2018-10-01,2,폐업처리,2026-04-16 16:00:45,,2018-10-01,,경기도 고양시 일산서구 주엽동 49번지 강선마을5단지아파트 108호,2018410012505600047,3940000,"경기도 고양시 일산서구 강선로 96, 강선마을5단지아파트 1층 108호 (주엽동)",10361,03,폐업,,,
씨유 광명시청로점,2026-04-16,188048.508469552,442658.52420043,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2021-09-15,2,폐업처리,2026-04-16 18:07:49,,2021-09-15,,경기도 광명시 철산동 131,2021390030905600007,3900000,"경기도 광명시 시청로 109, 1층 (철산동)",14214,03,폐업,,,
CU묵동먹골역점,2026-04-16,206891.930944961,456779.871840918,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2016-06-15,2,폐업처리,2026-04-16 10:02:51,,2016-06-15,,서울특별시 중랑구 묵동 172번지 26호 101.102호,2016306014405600039,3060000,"서울특별시 중랑구 공릉로2가길 28, 101,102호 (묵동)",02034,03,폐업,,,
김가네,,207422.489617599,447752.294198039,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2012-11-08,5,지정취소,2026-04-16 09:28:34,2026-04-14,2012-11-08,143-873,서울특별시 광진구 자양2동 679번지 25호,2012304016805600059,3040000,서울특별시 광진구 뚝섬로 678 (자양동),,04,취소/말소/만료/정지/중지,,,02-453-9725
에이엠피엠제로25,,201466.481843885,419450.625001465,2009년11월법개정전자료,2026-04-17 03:03:03,U,2004-02-09,5,지정취소,2026-04-16 09:38:11,2026-03-19,2004-02-09,,경기도 수원시팔달구 팔달로3가 25번지 6   호,2004377003105600017,3740000,경기도 수원시 팔달구 정조로770번길 7 (팔달로3가),,04,취소/말소/만료/정지/중지,,,031-254-7373
성심공인중개사사무소,2026-04-16,204801.089295068,453895.814081796,2009년11월법개정전자료,2026-04-17 03:03:03,U,2007-04-27,2,폐업처리,2026-04-16 09:59:25,,2007-04-27,,서울특별시 동대문구 휘경동 312번지 65  호,2007305010005600052,3050000,서울특별시 동대문구 망우로6길 8 (휘경동),,03,폐업,2010-07-20,2010-08-19,02-2244-0309
혜지낚시,,189439.816813216,463922.156767311,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2018-02-21,3,직권취소,2026-04-16 10:34:05,2026-04-16,2018-02-21,,경기도 고양시 덕양구 신원동 265번지 8호,2018395005205600014,3940000,"경기도 고양시 덕양구 호국로 1302, 우측호 (신원동)",10566,04,취소/말소/만료/정지/중지,,,
럭키핑거,2026-04-16,181108.433425615,447545.985336035,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2020-10-14,2,폐업처리,2026-04-16 16:40:58,,2020-10-14,,경기도 부천시 오정구 오정동 177-9,2020386063005600014,3860000,"경기도 부천시 오정구 오정로 254, 1층 107호 (오정동)",14434,03,폐업,,,
시가모아 전자담배 분당미금점,2026-04-16,209631.922552668,427654.857610022,제7조의3제3항에따른경우,2026-04-17 03:03:03,U,2015-02-05,2,폐업처리,2026-04-16 14:56:23,,2015-02-05,463-480,경기도 성남시 분당구 금곡동 158번지 미도프라자 114호,2015381005405600011,3780000,"경기도 성남시 분당구 성남대로 168 (금곡동, 미도프라자 114호)",,03,폐업,,,031-703-5686
세븐일레븐 군자원룸점,,206661.102110227,450066.043554987,제7조의3제2항에따른경우,2026-04-17 03:03:03,U,2015-06-23,5,지정취소,2026-04-16 09:31:17,2026-04-14,2015-06-23,,,2015304016805600061,3040000,"서울특별시 광진구 능동로25길 15, 1층 (군자동)",,04,취소/말소/만료/정지/중지,,,02-000-0000
