사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
이천쌀수퍼,,211788.326804403,444586.436554244,2009년11월법개정전자료,2026-05-21 03:03:03,U,2001-02-16,3,직권취소,2026-05-20 18:26:45,2026-05-18,2001-02-16,,서울특별시 송파구 오금동 71번지 0009호,2001323007805600009,3230000,,,04,취소/말소/만료/정지/중지,,,02-430-1188
모락모락한식뷔페,,201762.045760524,396635.078381965,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2024-12-03,5,지정취소,2026-05-20 11:26:19,2026-05-15,2024-12-03,,경기도 평택시 서탄면 장등리 681-14,2024391003505600097,3910000,"경기도 평택시 서탄면 고덕북로 192, A동",17788,04,취소/말소/만료/정지/중지,,,
컴하우스,,205847.924738087,397768.891524611,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2015-02-04,5,지정취소,2026-05-20 11:04:12,2026-05-15,2015-02-04,459-110,경기도 평택시 지산동 636번지 9호,2015391003505600009,3910000,경기도 평택시 지산천로 6 (지산동),,04,취소/말소/만료/정지/중지,,,
서울중랑경찰서 복지위원회,,,,제7조의3제3항에따른경우,2026-05-21 03:03:03,U,2021-04-13,0,정상영업,2026-05-20 13:48:54,,2021-04-13,,서울특별시 중랑구 신내동 810 서울중랑경찰서,2021306017505600017,3060000,"서울특별시 중랑구 신내역로3길 40-10, 서울중랑경찰서 3층 (신내동)",02055,01,영업/정상,,,02-2171-0661
래미안홈마트,2026-05-20,215223.800862058,438686.329480372,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2022-07-05,2,폐업처리,2026-05-20 16:43:27,,2022-07-05,,"경기도 성남시 중원구 금광동 2500 래미안금광아파트 상가동 B01,0호",2022380002905600024,3780000,"경기도 성남시 중원구 황송로 77, 상가동 B01,02,03,04호 (금광동, 래미안금광아파트)",13165,03,폐업,,,
화성어름,,204420.439271864,397463.49258381,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2024-07-23,5,지정취소,2026-05-20 11:10:15,2026-05-15,2024-07-23,,경기도 평택시 신장동 297-101,2024391003505600049,3910000,경기도 평택시 밀월로43번길 42-11 (신장동),17760,04,취소/말소/만료/정지/중지,,,
대현,,,,2009년11월법개정전자료,2026-05-21 03:03:03,U,2009-04-09,3,직권취소,2026-05-20 18:25:14,2026-05-18,2009-04-09,138-871,서울특별시 송파구 장지동 393번지 남성대퍼블릭골프장내,2009323013105600054,3230000,,,04,취소/말소/만료/정지/중지,,,
대한공인중개사,,201787.346033435,391072.115245957,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2013-11-27,5,지정취소,2026-05-20 10:41:27,2026-05-15,2013-11-27,451-843,경기도 평택시 고덕면 해창리 288번지 10호,2013391003505600056,3910000,경기도 평택시 고덕면 고덕로 43,,04,취소/말소/만료/정지/중지,,,
이마트24R정왕공원점,2026-05-19,177359.332781282,427376.964207071,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2013-05-07,2,폐업처리,2026-05-20 08:21:11,,2013-05-07,,,2013401023905600042,4010000,"경기도 시흥시 봉우재로61번길 9, 103~104호 (정왕동)",,03,폐업,,,
GS25 남양주 대림점,2026-05-20,217175.43233801,466349.344264861,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2016-10-14,2,폐업처리,2026-05-20 17:43:09,,2016-10-14,,,2016399015405600074,3990000,"경기도 남양주시 오남읍 양지로240번길 33, 상가동 106,107호 (이편한세상아파트)",12046,03,폐업,2018-08-30,2018-09-29,031-573-1777
씨유 장안수일로점,2026-05-20,200141.160756968,423012.762826158,제7조의3제2항에따른경우,2026-05-21 03:03:03,U,2024-02-28,2,폐업처리,2026-05-20 10:05:02,,2024-02-28,,경기도 수원시 장안구 송죽동 98-16,2024375003205600010,3740000,"경기도 수원시 장안구 수일로 108, 1층 (송죽동)",16299,03,폐업,,,
