사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
이핫스토어,종합몰,2026-05-21,167146.853558482,433106.400418521,2026-05-21 03:03:03,U,03,폐업처리,2026-05-20 15:52:46,,2026-01-02,,인천광역시 연수구 송도동 **-* 송도 센트로드,2026352023330200010,인터넷,3520000,"인천광역시 연수구 인천타워대로 ***, 송도 센트로드 에이동 ***-***호 (송도동)",22007,,03,폐업,,,
삼성디자인기획,기타 교육/도서/완구/오락,,205051.619990694,489164.584840808,2026-05-21 03:03:03,U,01,정상영업,2026-05-20 13:23:24,,2018-10-26,,경기도 동두천시 생연동 ***-**,2023392009730200096,인터넷,3920000,"경기도 동두천시 평화로 ****, *층 (생연동)",11314,,01,영업/정상,,,
은자매,가구/수납용품,2026-05-20,206523.573946481,462533.833403083,2026-05-21 03:03:03,U,05,타시군구이관,2026-05-20 11:08:56,,2023-05-30,,서울특별시 노원구 상계동 **** 노원센트럴푸르지오,2023310018430201023,인터넷,3100000,"서울특별시 노원구 수락산로 **, ***동 ****호 (상계동, 노원센트럴푸르지오)",01639,,05,제외/삭제/전출,,,
주식회사 마꼼(MACCOM Inc.),의류/패션/잡화/뷰티,2026-05-21,210035.53319109,430588.918008914,2026-05-21 03:03:03,U,03,폐업처리,2026-05-20 11:48:36,,2021-08-19,,경기도 성남시 분당구 수내동 **-* 분당 동부루트빌딩,2021378021930203806,인터넷,3780000,"경기도 성남시 분당구 황새울로***번길 **, 분당 동부루트빌딩 ****호 (수내동)",13595,,03,폐업,,,
올데이라이프,종합몰,2026-05-20,179722.449625582,445788.369759594,2026-05-21 03:03:03,U,03,폐업처리,2026-05-20 15:57:27,,2020-06-22,,경기도 부천시 오정구 삼정동 ***번지 **호 우림메르디앙,2020386055530202293,인터넷,3860000,"경기도 부천시 오정구 수도로**번길 *, ***동 ***호 (삼정동, 우림메르디앙)",14516,,03,폐업,,,
(주)하이어다이버시티,종합몰,2026-05-20,193165.490137352,446797.341447363,2026-05-21 03:03:03,U,05,타시군구이관,2026-05-20 09:13:08,,2024-11-12,,서울특별시 영등포구 여의도동 **-* 오투타워,2025318025430201436,인터넷,3180000,"서울특별시 영등포구 의사당대로 **, 오투타워  *,*,*,*,**,**층 (여의도동)",07325,,05,제외/삭제/전출,,,
셉템샵,종합몰,2026-05-15,208153.74,479703.91,2026-05-21 03:03:03,U,03,폐업처리,2026-05-20 10:32:08,,2025-06-26,,경기도 양주시 옥정동 ***-* 폴리프라자Ⅱ,2025559029130202347,인터넷,5590000,"경기도 양주시 옥정동로*다길 **-**, 폴리프라자Ⅱ ***호-B***호 (옥정동)",11473,,03,폐업,,,
한입소담,건강/식품,,212447.716036964,448356.459650635,2026-05-21 03:03:03,U,07,직권말소,2026-05-20 10:57:40,,2024-01-05,,서울특별시 강동구 길동 ***-*,2024324028930200044,인터넷,3240000,"서울특별시 강동구 양재대로***길 **, ***호 (길동)",05351,,04,취소/말소/만료/정지/중지,,,
직구넷 박스,종합몰,2026-05-19,208153.74,479703.91,2026-05-21 03:03:03,U,03,폐업처리,2026-05-20 10:34:08,,2025-05-22,,경기도 양주시 옥정동 ***-* 폴리프라자Ⅱ,2025559029130201658,인터넷,5590000,"경기도 양주시 옥정동로*다길 **-**, 폴리프라자Ⅱ ***-B***호 (옥정동)",11473,,03,폐업,,,
공양미 효심청,건강/식품,2026-05-20,,,2026-05-21 03:03:03,U,05,타시군구이관,2026-05-20 15:36:03,,2021-07-21,,경기도 오산시 가수동 ***,2024400019430200404,인터넷,4000000,"경기도 오산시 수목원로**번길 **, 클라우드엠캠퍼스 지식산업센터동 *층 F***호 (가수동)",18126,,05,제외/삭제/전출,,,
매크로코퍼레이션(주),종합몰 건강/식품,,222186.914564633,410876.789477775,2026-05-21 03:03:03,U,01,정상영업,2026-05-20 13:28:36,,2025-11-14,,경기도 용인시 처인구 운학동 ***-*,2025562002730203521,"TV홈쇼핑, 인터넷",4050000,"경기도 용인시 처인구 동부로 ***, ***호 (운학동)",17141,,01,영업/정상,,,
