영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,62포병대대,,,,2026-03-12 21:13:41,U,01,영업,0,,,,,,,,,2026-03-11 16:42:58,2011-07-22,104.56,,강원특별자치도 양구군 동면 팔랑리 ****,N,,4321000-134-2011-00035,,4321000,,,01,영업/정상,영업장판매,033-482-6188,,,
,,잇츠비,2026-03-11,209714.027222914,415112.443559383,2026-03-12 21:43:44,U,02,폐업,0,,,,,,,,,2026-03-11 14:51:20,2025-01-09,,446-902,경기도 용인시 기흥구 공세동 ***-* B**-P**호,N,,5630000-134-2025-00014,,4050000,"경기도 용인시 기흥구 공세로 ***-**, 지하*층 B**-P**호 (공세동)",17084,03,폐업,전자상거래(통신판매업),,,,
,임대,지에스25 올림픽공원북2문점,,211374.342098995,446946.352765049,2026-03-12 22:13:50,U,01,영업,0,,,,,,,,,2026-03-11 15:47:21,2025-06-10,.00,134-847,서울특별시 강동구 성내동 ***-** 오성우산빌딩,N,,3240000-134-2025-00113,,3240000,"서울특별시 강동구 성안로 **, 오성우산빌딩 *층 ***,***호 (성내동)",05407,01,영업/정상,영업장판매,,,,
,,한약국 더 채움,2026-03-11,192567.347062151,453851.127070876,2026-03-12 22:43:48,U,02,폐업,0,,,,,,,,,2026-03-11 11:17:04,2021-06-24,,122-927,서울특별시 은평구 응암동 ***-** 새로나빌딩,N,,3110000-134-2021-00147,,3110000,"서울특별시 은평구 응암로 ***-*, 새로나빌딩 *층 *호 (응암동)",03478,03,폐업,전자상거래(통신판매업),,,,
,자가,비겐의료기 상계홈센타,,206511.286100837,462028.211779132,2026-03-12 22:13:42,U,01,영업,0,,,,,,,,,2026-03-11 11:29:31,2009-03-13,3.30,139-856,서울특별시 노원구 중계동 ***-**,N,,3100000-134-2009-00025,,3100000,"서울특별시 노원구 덕릉로**길 **-**, *층 (중계동)",01662,01,영업/정상,영업장판매,02-930-0351,,,
,자가,(주)블루엠텍,,,,2026-03-12 21:43:44,U,01,영업,16.74,,,,,,,,,2026-03-11 11:32:58,2015-06-05,16.74,446-908,경기도 용인시 기흥구 영덕동 **** 힉스유타워 A동 ***-*A,N,,5630000-134-2015-00087,,4050000,"경기도 용인시 기흥구 중부대로 ***, 힉스유타워 A동 ***-*A호 (영덕동)",17095,01,영업/정상,도매업(유통),031-548-1988,,,
,자가,379포병대대,,,,2026-03-12 21:13:43,U,01,영업,0,,,,,,,,,2026-03-11 16:30:05,2011-07-15,66.00,,강원특별자치도 인제군 서화면 천도리 ***-** 사서함 ***-**호,N,,4331000-134-2011-00038,,4331000,,,01,영업/정상,영업장판매,033-462-9526,,,
,,208항공대대,,286334.984376188,510068.106722003,2026-03-12 21:13:41,U,01,영업,0,0,0,0,,,,0,,2026-03-11 16:52:27,2021-08-02,48.00,,강원특별자치도 양구군 양구읍 안대리 **-*,N,,4321000-134-2021-00001,,4321000,,,01,영업/정상,영업장판매,033-461-3505,,,
,자가,3군단사령부,,,,2026-03-12 21:13:43,U,01,영업,0,,,,,,,,,2026-03-11 17:10:25,2011-07-15,66.00,,강원특별자치도 인제군 기린면 현리 ***-* 사서함 ***-**호,N,,4331000-134-2011-00008,,4331000,,,01,영업/정상,영업장판매,033-460-7839,,,
,자가,21사방공대대,,,,2026-03-12 21:13:41,U,01,영업,0,,,,,,,1,,2026-03-11 16:52:52,2024-05-13,68.00,,강원특별자치도 양구군 국토정중앙면 구암리 ***,N,,4321000-134-2024-00003,,4321000,,,01,영업/정상,영업장판매,033-461-3505,,,
