영업소면적,사업장명,사업장구분명,업태구분명,폐업일자,위탁업체명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,실험실면적,실험실반,실험실번지,실험실산,실험실지역코드,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소건물층구분,실험실도로명주소코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소시군구코드,실험실도로명주소우편번호,실험실도로명특수주소,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실통,실험실호,실험실우편번호,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,(주)효성,환경전문공사업,,2011-02-11,,195665.095236718,449265.007135047,2026-04-25 22:30:34,I,2,폐업,,,,1,1153010200,,,,,,,,,,,,,,,152051,2011-10-30 13:20:29,1978-12-11,121-020,서울특별시 마포구 공덕동 450 프랜트기술진 공사관리팀,313000067197800001,3130000,서울특별시 마포구 마포대로 119 (공덕동),,,03,폐업,,,02-707-5812
,(주)어드밴스드바이오테크놀로지,환경전문공사업,,2011-12-30,,189855.433985731,453614.583448105,2026-04-25 22:30:34,I,2,폐업,,,1580,1,1144012700,330,,0,3113012,1144012700,1,11440,,"(상암동,DMC첨단산업센터 215호)",DMC첨단산업센터 215호,,,,,121270,2012-01-26 14:48:30,2006-06-16,,서울특별시 마포구 상암동 1580 DMC첨단산업센타 215호,313000067200600002,3130000,"서울특별시 마포구 성암로 330  (상암동,DMC첨단산업센타 215호)",,,03,폐업,,,02-383-6023
,효성굿스프링스(주),환경전문공사업,,2021-05-18,,195743.278987166,449398.489851057,2026-04-25 22:30:34,I,2,폐업,,,742,1,4127310700,64,,0,3191064,4127310700,1,41273,,"(초지동,201호)",201호,,,,2,425080,2021-05-24 09:22:14,2008-04-04,,서울특별시 마포구 공덕동 473,313000067200800001,3130000,서울특별시 마포구 마포대로 137 (공덕동),,,03,폐업,,,02-707-6993
106,재우소닉(주),환경전문공사업,,2011-07-27,,195266.07314617,448799.641804029,2026-04-25 22:30:34,I,2,폐업,,,559,1,1144010400,53,,0,2113001,1144010400,1,11440,,"A동 904호 (도화동,마포트라팰리스)",마포트라팰리스,A,904,,,121040,2012-01-26 15:19:05,2010-07-22,,서울특별시 마포구 도화동 559 마포트라팰리스 A동 904호,313000067201000002,3130000,"서울특별시 마포구 마포대로 53, A동 904호 (도화동,마포트라팰리스)",,,03,폐업,,,02-707-3309
,(주)남일씨엔씨,환경전문공사업,,2011-02-25,,,,2026-04-25 22:30:34,I,2,폐업,,,,,,,,,,,,,,,,,,,,,2012-01-26 15:21:42,2010-11-10,,서울특별시 마포구 상수동 131 한양빌딩 201호,313000067201000003,3130000,,,,03,폐업,,,
,(주)이앤비솔루션,환경전문공사업,,2012-08-07,(주)한솔환경산업,195703.425296812,449330.800717721,2026-04-25 22:30:34,I,2,폐업,,,,,,,,,,,,,,,,,,,,,2013-03-25 10:53:31,2011-02-21,,서울특별시 마포구 공덕동 404 풍림VIP텔 1723호,313000067201100001,3130000,"서울특별시 마포구 마포대로 127  (공덕동,풍림VIP텔 1723호)",,,03,폐업,,,
,(주)어드밴스드바이오테크놀로지,환경전문공사업,,2018-03-27,,189855.433985731,453614.583448105,2026-04-25 22:30:34,I,2,폐업,,,,,,,,,,,,,,,,,,,,,2018-03-27 16:10:23,2012-02-08,,서울특별시 마포구 상암동 1580 DMC첨단산업센타 215호,313000067201200001,3130000,서울특별시 마포구 성암로 330 (상암동),,,03,폐업,,,02-383-6023
,엘아이지엔설팅(주),환경전문공사업,,2013-04-19,청룡환경,192085.635166001,449653.704695179,2026-04-25 22:30:34,I,2,폐업,,,197,1,1153010200,20,,0,4148335,1153010200,1,11530,,"(구로동, 주식회사 청룡환경)",,,,,22,,2015-07-07 10:22:30,2012-08-28,121-816,서울특별시 마포구 합정동 471,313000067201200002,3130000,"서울특별시 마포구 양화로 19 (합정동, LIG합정빌딩 23층 )",,,03,폐업,,,02-6900-4831
,비전테크환경(주),환경전문공사업,,2018-03-23,주)산업공해연구소,191427.097563261,452028.237293526,2026-04-25 22:30:34,I,2,폐업,,,,,,,,,,,,,,,,,,,,,2018-03-27 11:37:32,2014-07-09,,서울특별시 마포구 중동 64-23,313000067201400001,3130000,"서울특별시 마포구 월드컵북로38길 14, 401호 (중동)",,,03,폐업,,,02-308-4501
,에스알이엔씨(주),환경전문공사업,,2017-12-13,,193018.723019998,450835.843387811,2026-04-25 22:30:34,I,2,폐업,,,,,,69,,0,4139557,1144012400,1,11440,,2층 (연남동),,,,,,,2017-12-13 11:10:11,2017-05-31,,,313000067201700001,3130000,"서울특별시 마포구 월드컵북로6길 69, 2층 (연남동)",03990,,03,폐업,,,02-514-0188
