건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
5,,1,뉴천지호텔,일반호텔,,,,,200225.983119633,451511.262755282,2026-04-25 03:03:03,U,01,영업,,0,2026-04-24 16:21:13,1974-03-30,"2,963.40",100-195,서울특별시 중구 을지로5가 133-1,N,,3010000-201-1974-00217,3010000,서울특별시 중구 을지로38길 20 (을지로5가),04561,01,영업/정상,일반호텔,02-2265-6131,0,0,0,0,67
1,임대,0,휴모텔,여관업,,,,,203869.512222916,463330.847453736,2026-04-25 03:03:03,U,01,영업,,0,2026-04-24 13:44:11,2000-07-13,75.90,132-821,서울특별시 도봉구 도봉동 623-14,N,,3090000-201-2000-00001,3090000,서울특별시 도봉구 도봉로152가길 64 (도봉동),01328,01,영업/정상,여관업,02-955-1912,1,0,1,0,10
0,,0,스테이 에브리데이,여인숙업,,,,,190280.110002906,441655.683609785,2026-04-25 03:03:03,U,01,영업,,9,2026-04-24 10:29:51,1976-01-12,116.26,153-801,서울특별시 금천구 가산동 143-15,N,,3170000-201-1976-00015,3170000,서울특별시 금천구 가산로9길 12 (가산동),08515,01,영업/정상,여인숙업,02-859-9049,0,0,0,0,0
18,임대,5,르컬렉티브 강남 예술의전당 로이움,숙박업(생활),,,,,201036.631861637,442668.649726901,2026-04-25 03:03:03,U,01,영업,0,0,2026-04-24 14:43:02,2023-09-11,"2,526.75",137-876,서울특별시 서초구 서초동 1591-8,N,0,3210000-214-2023-00002,3210000,서울특별시 서초구 반포대로16길 30 (서초동),06652,01,영업/정상,숙박업(생활),02-1644-7694,0,0,0,0,75
0,,0,스테이 소소로 송도점,숙박업(생활),,,,,167094.933098261,433775.888358481,2026-04-25 03:03:03,U,01,영업,0,0,2026-04-24 17:15:15,2025-10-28,"1,241.16",406-081,인천광역시 연수구 송도동 29-1 한라 웨스턴파크 송도,N,0,3520000-214-2025-00003,3520000,"인천광역시 연수구 아트센터대로168번길 100, 한라 웨스턴파크 송도 (송도동)",22006,01,영업/정상,숙박업(생활),,0,0,0,0,49
0,,0,몽이·하늘아래 팬션,숙박업(생활),,,,,158363.859892724,415013.741298359,2026-04-25 03:03:03,U,01,영업,0,0,2026-04-24 10:09:48,2019-05-17,534.12,409-872,인천광역시 옹진군 영흥면 선재리 213-25,N,0,3580000-214-2019-00013,3580000,"인천광역시 옹진군 영흥면 선재로 76-22, 103,104동",23123,01,영업/정상,숙박업(생활),,1,0,4,0,12
0,,0,선인장 여관,여관업,,,,,181038.596188707,483890.019622165,2026-04-25 03:03:03,U,01,영업,,2,2026-04-24 09:42:38,1998-07-25,.00,413-904,경기도 파주시 문산읍 문산리 10-1,N,,4060000-201-1998-01113,4060000,경기도 파주시 문산읍 문향로56번길 7-2,10824,01,영업/정상,여관업,031-953-9448,0,0,0,0,5
0,,0,넘버25 부천송내역점,여관업,,,,,178019.079704037,443221.58540136,2026-04-25 03:03:03,U,01,영업,,0,2026-04-24 14:04:17,2001-02-22,860.46,,"경기도 부천시 원미구 상동 406 501호, 601호",N,,3871000-201-2001-00360,3860000,"경기도 부천시 원미구 부일로199번길 56, 501호, 601호 (상동)",14598,01,영업/정상,여관업,,5,0,6,0,32
5,,1,헤이모텔,여관업,,,,,181778.557779368,442067.815805016,2026-04-25 03:03:03,U,01,영업,,0,2026-04-24 11:41:52,1991-09-12,841.54,,경기도 부천시 소사구 소사본동 75-11,N,,3881000-201-1991-00202,3860000,경기도 부천시 소사구 소사로247번길 16 (소사본동),14704,01,영업/정상,여관업,032-349-9494,1,0,5,0,30
0,,0,경기장여관,여관업,,,,,182964.354544679,471207.03569781,2026-04-25 03:03:03,U,01,영업,,8,2026-04-24 09:41:48,1982-04-12,77.98,413-823,경기도 파주시 조리읍 봉일천리 166-12,N,,4060000-201-1982-00069,4060000,경기도 파주시 조리읍 봉천로 37-7,10937,01,영업/정상,여관업,031-945-0553,0,0,0,0,0
0,,0,정든장,여관업,,,,,188762.057786063,483052.828606269,2026-04-25 03:03:03,U,01,영업,,5,2026-04-24 09:45:25,1988-01-25,93.08,413-874,경기도 파주시 법원읍 대능리 93-4,N,,4060000-201-1988-00060,4060000,경기도 파주시 법원읍 술이홀로879번길 8,10826,01,영업/정상,여관업,,0,0,0,0,6
1,자가,0,정선 황토 약초 게스트하우스,숙박업(생활),,,,,347185.829086488,432246.711148156,2026-04-25 03:03:03,U,01,영업,0,5,2026-04-24 11:19:24,2022-11-03,142.12,,강원특별자치도 정선군 정선읍 봉양리 324-23,N,0,4291000-214-2022-00002,4291000,강원특별자치도 정선군 정선읍 봉양5길 38,26130,01,영업/정상,숙박업(생활),033-563-9976,1,0,0,0,0
