사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
도담동물의료센터,,,,2026-04-25 22:32:15,I,0000,정상,2026-04-20 09:24:56,,2026-04-15,131,,인천광역시 서구 불로동 1006-13,356000001020260003,3560000,000,"인천광역시 서구 고산후로 216, 2층 208~210호 (불로동)",22888,,01,영업/정상,,,
한마음동물병원,,,,2026-04-25 22:32:14,I,0002,폐업,2017-12-29 15:13:03,,2003-11-04,0,,인천광역시 서구 마전동 검단1지구 45블록 1롯트 이지프라자 112호,356000001020030003,3560000,000,,,,03,폐업,,,
검단종합동물병원,,,,2026-04-25 22:32:14,I,0002,폐업,2017-07-11 09:04:39,,2005-10-18,58.8,,인천광역시 서구 마전동 582-33 1층,356000001020050002,3560000,000,,,,03,폐업,,,032-563-8579
삼성종합동물병원,,170940.84012012,444191.01947886,2026-04-25 22:32:14,I,0002,폐업,2018-06-07 11:29:02,,2006-02-21,116.3,,인천광역시 서구 석남동 579-3,356000001020060001,3560000,L00,인천광역시 서구 건지로 269 (석남동),,,03,폐업,,,032-573-0079
쿨펫동물병원(가좌점),,170813.26483128,443985.945396357,2026-04-25 22:32:15,I,0002,폐업,2022-01-06 10:59:06,,2021-12-27,0,,인천광역시 서구 가좌동 118 홈플러스 가좌점,356000001020170006,3560000,000,인천광역시 서구 가정로151번길 11 (가좌동),22832,,03,폐업,,,
베테랑 동물병원(청라지점),,167265.754629528,447961.230210056,2026-04-25 22:32:15,I,0002,폐업,2021-10-20 09:53:50,,2021-03-02,81.3,,인천광역시 서구 청라동 96-7 청라레이크봄,356000001020210001,3560000,000,"인천광역시 서구 청라한내로100번길 8-28, 청라레이크봄 1층 123, 124호 (청라동)",22758,,03,폐업,,,
서해동물의료센터,,171088.815935302,451311.757117345,2026-04-25 22:32:15,I,0000,정상,2026-02-24 08:52:05,,2026-02-20,170,,인천광역시 서구 검암동 627-1 205호,356000001020260001,3560000,000,"인천광역시 서구 승학로 470, 2층 205호 (검암동)",22696,,01,영업/정상,,,032-710-3412
태능동물병원,,206780.207620819,456698.48946494,2026-04-25 22:32:14,I,0000,정상,2026-02-04 16:04:24,,1991-11-30,153.5,,서울특별시 중랑구 묵동 175-2 3층,306000001019910001,3060000,000,"서울특별시 중랑구 동일로 920, 3층 (묵동)",02033,,01,영업/정상,,,02-973-1953
보람동물병원,,207505.353493377,452751.137837689,2026-04-25 22:32:14,I,0000,정상,2019-03-06 14:09:43,,1995-08-02,0,,서울특별시 중랑구 면목동 353-4,306000001019950001,3060000,000,서울특별시 중랑구 면목로 269 (면목동),02240,,01,영업/정상,,,
엔젤동물병원,,207735.456233727,454057.837624796,2026-04-25 22:32:14,I,0000,정상,2019-03-06 14:15:34,,1996-03-26,0,,서울특별시 중랑구 면목동 102-51,306000001019960001,3060000,000,서울특별시 중랑구 겸재로 187 (면목동),02161,,01,영업/정상,,,
홍상희동물병원,,206763.653496703,456484.166451356,2026-04-25 22:32:14,I,0000,정상,2023-09-05 15:21:09,,1997-03-17,95.4,,서울특별시 중랑구 묵동 239-76,306000001019970001,3060000,000,"서울특별시 중랑구 동일로 899, 1층 (묵동)",02006,,01,영업/정상,,,
하스펫탈동물병원,,207610.403324186,454365.747238549,2026-04-25 22:32:14,I,0000,정상,2025-07-11 10:43:39,,2000-02-29,0,,서울특별시 중랑구 면목동 225-7,306000001020000001,3060000,000,"서울특별시 중랑구 면목로 442-1, 1층 (면목동)",02160,,01,영업/정상,,,
신내동물병원,,207499.721342162,455602.490288206,2026-04-25 22:32:14,I,0000,정상,2015-05-28 13:52:40,,2000-07-21,0,,서울특별시 중랑구 중화동 11-36 삼일시티빌 1층,306000001020000002,3060000,000,"서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)",02048,,01,영업/정상,,,34220001
진정훈동물병원,,206886.476566053,455496.619419948,2026-04-25 22:32:14,I,0000,정상,2022-02-04 11:37:27,,2001-05-09,0,,서울특별시 중랑구 중화동 305-44 유정빌딩,306000001020010003,3060000,000,"서울특별시 중랑구 봉화산로 39-1, 유정빌딩 2층 (중화동)",02017,,01,영업/정상,,,22070073
