사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,판매점영업면적,휴업시작일자,휴업종료일자,소재지전화번호
CU주안대로점,2016-06-24,171865.095534618,440285.923487288,2026-04-25 22:31:01,I,03,폐업,2016-06-24 16:14:36,,2016-02-18,,,PHMH320163510021087500007,3510500,"인천광역시 미추홀구 주안로 117-9, 101호 (주안동, 제이타워)",22133,03,폐업,38,,,
GS25숭의한화점,2020-03-30,168894.805298756,440635.51863191,2026-04-25 22:31:01,I,03,폐업,2020-03-30 17:44:58,,2016-02-18,,,PHMH320163510021087500008,3510500,인천광역시 미추홀구 석정로102번길 46 (숭의동),22103,03,폐업,59,,,
엔앰엔,2018-01-10,168920.037710679,440721.441682432,2026-04-25 22:31:01,I,03,폐업,2018-01-17 09:15:12,,2016-02-29,,,PHMH320163510021087500010,3510500,인천광역시 미추홀구 석정로126번길 9 (숭의동),22103,03,폐업,43,,,
지에스25 도화나산점,2020-07-03,170485.392094194,440372.66081765,2026-04-25 22:31:01,I,03,폐업,2020-07-07 11:20:23,,2016-03-04,,,PHMH320163510021087500011,3510500,"인천광역시 미추홀구 경인로 221, 205호 (도화동)",22106,03,폐업,99,,,
CU숭의2동점,2021-09-06,168687.42606092,440102.24799272,2026-04-25 22:31:01,I,03,폐업,2021-09-06 13:25:18,,2016-03-24,,,PHMH320163510021087500012,3510500,인천광역시 미추홀구 미추로 27 (숭의동),22172,03,폐업,59,,,
씨유 문학허브점,2020-05-22,171988.617584291,437321.530391968,2026-04-25 22:31:01,I,03,폐업,2020-05-25 17:00:31,,2016-04-18,,,PHMH320163510021087500014,3510500,인천광역시 미추홀구 소성로 333 (문학동),22235,03,폐업,,,,032-427-2819
현대마트,2022-12-12,171265.204935222,437912.79023263,2026-04-25 22:31:01,I,03,폐업,2022-12-12 17:33:24,,2016-04-18,,인천광역시 미추홀구 학익동 647번지,PHMH320163510021087500015,3510500,"인천광역시 미추홀구 학익소로61번길 107, 지하층 (학익동, 주안7차신동아아파트)",22222,03,폐업,98,,,032-873-8723
씨유 주안3동점,2018-11-07,,,2026-04-25 22:31:01,I,03,폐업,2018-11-08 09:23:23,,2016-04-26,,,PHMH320163510021087500016,3510500,인천광역시 미추홀구 학익소로37번길 33 (주안동),22218,03,폐업,59,,,
세븐일레븐 도화석정로점,2021-03-24,170844.024115511,440643.525726687,2026-04-25 22:31:01,I,03,폐업,2021-03-25 11:51:49,,2016-05-03,,,PHMH320163510021087500017,3510500,인천광역시 미추홀구 석정로324번길 4 (도화동),22118,03,폐업,132,,,032-873-8043
씨유 주안로점,2017-07-13,171091.038963004,440247.129701784,2026-04-25 22:31:01,I,03,폐업,2017-07-13 16:52:53,,2016-05-20,,,PHMH320163510021087500018,3510500,"인천광역시 미추홀구 주안로 40, 102호 (주안동, 앙상블)",22136,03,폐업,53,,,
(주)코리아세븐 주안월드스테이트점,2018-04-23,172819.291571065,439964.441585105,2026-04-25 22:31:12,I,03,폐업,2018-04-24 11:33:50,,2016-06-10,,,PHMH320163510021087500019,3510500,"인천광역시 미추홀구 경원대로864번길 78, 103호 (주안동)",22144,03,폐업,,,,032-421-0994
씨유(CU)도화드림점,2018-09-20,170631.089853973,440626.953603221,2026-04-25 22:31:01,I,03,폐업,2018-09-20 18:03:46,,2016-06-21,,,PHMH320163510021087500021,3510500,"인천광역시 미추홀구 석정로302번길 12, 1층 (도화동)",22118,03,폐업,89,,,
지에스 25 숭의길목점,2019-07-29,169772.911028799,440010.1828795,2026-04-25 22:31:02,I,03,폐업,2019-07-30 10:40:43,,2016-06-28,,,PHMH320163510021087500023,3510500,"인천광역시 미추홀구 수봉안길 16, 1층 (숭의동)",22167,03,폐업,46,,,
GS 25 인천문학타운점,2025-12-10,171528.807490815,437491.729711185,2026-04-25 22:31:02,I,03,폐업,2025-12-11 15:32:59,,2016-07-15,,,PHMH320163510021087500024,3510500,"인천광역시 미추홀구 매소홀로514번길 6-6, 102호, 103호 (문학동, 포운주택)",22236,03,폐업,,,,
미니스톱 용현새한점,2016-08-05,169633.570192407,438952.097105776,2026-04-25 22:31:02,I,03,폐업,2016-08-05 14:41:58,,2016-07-18,,,PHMH320163510021087500025,3510500,인천광역시 미추홀구 인하로77번길 26 (용현동),22207,03,폐업,83,,,
씨스페이스 제물포점,2020-12-30,169492.222977474,440473.712807569,2026-04-25 22:31:02,I,03,폐업,2020-12-30 16:31:32,,2016-07-21,,,PHMH320163510021087500027,3510500,"인천광역시 미추홀구 경인로 120, 1층 12호, 13호, 17호 (숭의동)",22163,03,폐업,56,,,
씨유 주안힐탑,2018-10-12,171439.005183027,439854.685236564,2026-04-25 22:31:02,I,03,폐업,2018-10-12 11:53:40,,2016-07-22,,,PHMH320163510021087500028,3510500,"인천광역시 미추홀구 주안서로 18, 1층 111호 (주안동)",22139,03,폐업,50,,,
GS 25 인천주안로점,2021-08-24,172170.136794246,440201.057688246,2026-04-25 22:31:02,I,03,폐업,2021-08-24 19:19:49,,2016-07-25,,,PHMH320163510021087500029,3510500,"인천광역시 미추홀구 주안로 148, 1층 (주안동)",22135,03,폐업,66,,,
씨유(CU)도화중앙,2018-08-22,171248.949989726,439893.867292209,2026-04-25 22:31:02,I,03,폐업,2018-08-22 17:18:22,,2016-07-28,,,PHMH320163510021087500030,3510500,"인천광역시 미추홀구 석바위로 26, 1층 (도화동)",22139,03,폐업,,,,
씨유(CU)주안중앙점,2019-07-01,170986.129818224,438510.113575332,2026-04-25 22:31:02,I,03,폐업,2019-07-02 17:58:30,,2016-08-01,,,PHMH320163510021087500031,3510500,"인천광역시 미추홀구 인하로 224, 1층 (주안동)",22217,03,폐업,53,,,
지에스25도화1동점,2021-08-02,170261.057135549,440435.776134742,2026-04-25 22:31:02,I,03,폐업,2021-08-03 09:27:56,,2016-08-04,,,PHMH320163510021087500033,3510500,"인천광역시 미추홀구 경인로 195, 104호 (도화동)",22106,03,폐업,92,,,
미니스톱 용현새한점,2016-10-10,169633.570192407,438952.097105776,2026-04-25 22:31:12,I,03,폐업,2016-10-10 09:56:00,,2016-08-05,,,PHMH320163510021087500034,3510500,"인천광역시 미추홀구 인하로77번길 26, 1층 (용현동)",22207,03,폐업,107,,,
GS25주안두리점,2023-09-12,171131.9535,440717.682,2026-04-25 22:31:02,I,03,폐업,2023-09-13 09:54:05,,2016-08-25,,,PHMH320163510021087500036,3510500,"인천광역시 미추홀구 석정로351번길 13, 1층 (주안동)",22126,03,폐업,60,,,
세븐일레븐 인하대후문점,2023-02-01,169660.632781795,438819.283820218,2026-04-25 22:31:02,I,03,폐업,2023-02-02 17:38:39,,2016-09-01,,,PHMH320163510021087500038,3510500,인천광역시 미추홀구 인하로 87 (용현동),22207,03,폐업,33,,,
세븐일레븐 주안남광로얄점,2017-01-03,171325.744288575,438619.27852395,2026-04-25 22:31:02,I,03,폐업,2017-01-03 13:57:31,,2016-09-05,,,PHMH320163510021087500039,3510500,인천광역시 미추홀구 인하로257번길 21 (주안동),22214,03,폐업,46,,,032-863-1747
세븐일레븐 인천주안광명점,2020-09-08,171376.095786403,440673.093660875,2026-04-25 22:31:02,I,03,폐업,2020-09-08 16:41:00,,2016-10-05,,,PHMH320163510021087500041,3510500,"인천광역시 미추홀구 석정로375번길 11, 1층 (주안동)",22126,03,폐업,90,,,
씨유(CU) 용현원룸점,2018-09-17,170147.918503021,438832.364377708,2026-04-25 22:31:02,I,03,폐업,2018-09-17 14:46:44,,2016-10-05,,,PHMH320163510021087500042,3510500,"인천광역시 미추홀구 인하로133번길 35, 1층 (용현동)",22208,03,폐업,65,,,032-866-4555
지에스25 용현에스케이,2018-12-28,168560.232132349,438658.597558231,2026-04-25 22:31:02,I,03,폐업,2018-12-31 11:39:08,,2016-10-05,,,PHMH320163510021087500043,3510500,"인천광역시 미추홀구 용정공원로 33, A-1동 1층 102호 (용현동, 인천SKSkyVIEW)",22188,03,폐업,,,,
GS 25 도화팰리스점,2022-09-21,171132.8682131,439865.499156826,2026-04-25 22:31:02,I,03,폐업,2022-09-21 14:06:45,,2016-10-17,,,PHMH320163510021087500045,3510500,"인천광역시 미추홀구 경인로 301, 1층 101호 (도화동, 주영팰리스)",22139,03,폐업,67,,,
