건물지상층수,건물소유구분명,건물지하층수,사업장명,욕실수,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,발한실여부,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
7,임대,3,더케이짐,2,공동탕업,,,,,208006.504810197,447998.924380413,2026-04-25 22:30:16,I,01,영업,0,2025-03-10 15:11:37,2017-05-29,539.28,143-831,서울특별시 광진구 구의동 596-5,N,0,3040000-202-2017-00001,3040000,서울특별시 광진구 뚝섬로 742 (구의동),05115,01,영업/정상,공동탕업,N,02-446-0117,,2,,3
0,임대,0,건대스타시티몰 사우나,4,공동탕업,,,,,206349.675048285,448396.939704285,2026-04-25 22:30:16,I,01,영업,0,2025-11-06 17:26:59,2018-01-22,436.60,143-758,"서울특별시 광진구 자양동 227-7 더샵스타시티 지하1층, B100-1호",Y,0,3040000-202-2018-00001,3040000,"서울특별시 광진구 아차산로 272, 더샵스타시티 지하1층 B100-1호 (자양동)",05065,01,영업/정상,공동탕업,N,02-452-4455,0,1,0,1
0,,0,현대프라임스포츠센타,4,공동탕업,,,,,208403.746065593,448490.239179557,2026-04-25 22:30:16,I,01,영업,5,2022-04-21 10:22:23,2020-12-28,469.00,143-832,서울특별시 광진구 구의동 611 구의현대2단지아파트,N,7,3040000-202-2020-00001,3040000,"서울특별시 광진구 광나루로56길 32, 수영장 지하2~3층 (구의동, 구의현대2단지아파트)",05118,01,영업/정상,공동탕업,N,02-446-5300,,,,
0,,0,(주)비터스윗코리아,2,공동탕업,,,,,208310.372259506,448631.437594782,2026-04-25 22:30:16,I,01,영업,1,2022-04-21 10:24:26,2020-12-28,220.00,143-723,서울특별시 광진구 구의동 199-18 구의동삼성쉐르빌,N,2,3040000-202-2020-00002,3040000,"서울특별시 광진구 구의강변로 106, 지하층 B113호 (구의동, 구의동삼성쉐르빌)",05117,01,영업/정상,공동탕업,N,02-456-4455,,,,
0,,0,(주)비스코 헬스케어,2,목욕장업 기타,,,,,208644.819209521,448711.725750126,2026-04-25 22:30:16,I,01,영업,2,2022-07-19 16:24:07,2022-07-19,157.00,143-814,서울특별시 광진구 광장동 484 광장현대3단지아파트,N,2,3040000-202-2022-00001,3040000,"서울특별시 광진구 아차산로70길 62, 312동 B2층 (광장동, 광장현대3단지아파트)",04974,01,영업/정상,목욕장업 기타,N,,,2,,2
0,,0,단지,1,목욕장업 기타,,,,,208056.475815932,448536.074120581,2026-04-25 22:30:16,I,01,영업,1,2024-11-26 14:55:28,2024-11-26,45.84,143-822,서울특별시 광진구 구의동 219-11 애니카랜드,N,0,3040000-202-2024-00002,3040000,"서울특별시 광진구 아차산로 447, 애니카랜드 2층 (구의동)",05046,01,영업/정상,목욕장업 기타,N,,,,,
2,자가,0,유림탕,0,공동탕업,,,,,202775.158407074,460701.660336395,2026-04-25 22:30:36,I,01,영업,,2019-11-13 17:42:44,1971-12-30,154.88,132-866,서울특별시 도봉구 쌍문동 120-8,N,,3090000-202-1971-00061,3090000,서울특별시 도봉구 도봉로113가길 5 (쌍문동),01443,01,영업/정상,공동탕업,N,02-0991-8893,1,0,1,0
3,,1,송림탕,0,공동탕업,,,,,203485.378490397,459351.632781587,2026-04-25 22:30:35,I,01,영업,,2026-03-20 16:11:15,1975-12-30,207.45,132-917,서울특별시 도봉구 창동 532-1,N,,3090000-202-1975-00072,3090000,서울특별시 도봉구 우이천로12길 41 (창동),01476,01,영업/정상,공동탕업,N,02-0992-9789,1,1,3,1
4,자가,1,한성탕,0,공동탕업,,,,,203759.970641119,464069.834711115,2026-04-25 22:30:35,I,01,영업,,2021-09-03 09:57:16,1989-12-21,279.10,132-817,서울특별시 도봉구 도봉동 594-20,N,,3090000-202-1989-00091,3090000,서울특별시 도봉구 도봉로169나길 14 (도봉동),01306,01,영업/정상,공동탕업,N,02-954-3187,2,0,3,0
0,자가,0,성원목욕탕,0,공동탕업,,,,,202407.917419757,461818.574821468,2026-04-25 22:30:36,I,01,영업,,2020-10-15 10:56:51,1991-08-08,435.12,132-872,서울특별시 도봉구 쌍문동 248-2,N,,3090000-202-1991-00065,3090000,서울특별시 도봉구 시루봉로 88 (쌍문동),01388,01,영업/정상,공동탕업,N,02-993-1717,1,1,3,1
10,임대,3,두승대중목욕탕,3,공동탕업+찜질시설서비스영업,,,,,204391.615,461208.365,2026-04-25 22:30:35,I,01,영업,,2023-12-27 09:55:30,1993-12-07,733.33,132-898,서울특별시 도봉구 창동 12-3,N,,3090000-202-1993-00074,3090000,서울특별시 도봉구 노해로69길 21 (창동),01414,01,영업/정상,공동탕업+찜질시설서비스영업,Y,02-542-8203,1,0,2,0
