사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,약국영업면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
동인약국,2025-05-01,200856.552725308,452215.161208068,2026-04-25 22:31:03,I,1981-09-24,03,폐업,2025-05-01 10:17:37,,1981-09-24,,서울특별시 종로구 창신동 687-26,PHMD119653000034084000001,3000000,24,서울특별시 종로구 창신길 11 (창신동),03101,03,폐업,,,02-743-7371
대흥사약국,2023-12-30,199241.347975426,452249.651330435,2026-04-25 22:31:03,I,1999-08-17,03,폐업,2024-01-03 14:30:22,,1999-08-17,110-390,서울특별시 종로구 봉익동 22번지 2호,PHMD119653000034084000002,3000000,22,서울특별시 종로구 돈화문로6가길 40 (봉익동),03138,03,폐업,,,02-764-4548
세종약국,2012-01-02,197842.557986375,452132.318856498,2026-04-25 22:31:03,I,2004-01-02,03,폐업,2012-01-02 13:12:34,,2004-01-02,,서울특별시 종로구 세종로 157-4,PHMD119653000034084000003,3000000,24,서울특별시 종로구 세종대로 169 (세종로),,03,폐업,,,02-720-0099
종로메디칼약국,2013-06-28,197379.970714412,452663.981772217,2026-04-25 22:31:03,I,2008-01-03,03,폐업,2013-06-28 09:58:18,,2008-01-03,110-053,서울특별시 종로구 내자동 21번지 1호,PHMD119673000034084000001,3000000,25,서울특별시 종로구 사직로 111-1 (내자동),,03,폐업,,,02-733-3777
청사약국,2015-01-07,197759.173462514,452506.21248055,2026-04-25 22:31:03,I,2002-05-14,03,폐업,2015-01-07 09:59:47,,2002-05-14,,서울특별시 종로구 세종로 77-6 정부종합청사 후생관 1층,PHMD119683000034084000001,3000000,16,서울특별시 종로구 세종대로 209 (세종로),,03,폐업,,,02-725-9907
돈미약국,2018-09-07,198595.845834068,453248.526948683,2026-04-25 22:31:03,I,1968-11-15,03,폐업,2018-09-07 16:28:15,,1968-11-15,,서울특별시 종로구 가회동 30-9,PHMD119683000034084000002,3000000,39,서울특별시 종로구 북촌로 51-1 (가회동),03052,03,폐업,,,02-763-2220
동화약국,2012-11-22,,,2026-04-25 22:31:03,I,1970-02-26,03,폐업,2012-11-22 17:56:41,,1970-02-26,,서울특별시 종로구 관철동 7-19,PHMD119683000034084000003,3000000,26,서울특별시 종로구 종로14길 23 (관철동),,03,폐업,,,02-735-8041
십자약국,2013-02-25,,,2026-04-25 22:31:03,I,1979-01-16,03,폐업,2013-02-25 11:25:36,,1979-01-16,,서울특별시 종로구 교남동 6,PHMD119683000034084000004,3000000,17,,,03,폐업,,,02-735-0646
S.K보금약국,2012-04-30,,,2026-04-25 22:31:03,I,2000-11-22,03,폐업,2012-04-30 13:52:03,,2000-11-22,,서울특별시 종로구 서린동 115-1외35필지 S.K빌딩 지하1층,PHMD119683000034084000005,3000000,15,,,03,폐업,,,02-2121-7654
파고다약국,2016-03-02,198901.619613483,452209.745850827,2026-04-25 22:31:03,I,1965-12-20,03,폐업,2016-03-02 14:36:12,,1965-12-20,,서울특별시 종로구 낙원동 233,PHMD119703000034084000001,3000000,26,서울특별시 종로구 종로17길 46 (낙원동),03140,03,폐업,,,02-742-4104
정원약국,2009-08-03,,,2026-04-25 22:31:03,I,1980-12-03,03,폐업,2009-11-17 15:38:42,,1980-12-03,,서울특별시 종로구 무악동 67-2,PHMD119703000034084000002,3000000,27,,,03,폐업,,,02-738-9219
우정약국,2011-04-15,,,2026-04-25 22:31:03,I,2001-04-23,03,폐업,2011-04-15 15:01:54,,2001-04-23,,서울특별시 종로구 종로4가 177,PHMD119723000034084000001,3000000,65,,,03,폐업,,,02-2277-8567
메디칼서울약국,2011-01-03,,,2026-04-25 22:31:03,I,2008-08-01,03,폐업,2011-01-03 15:14:14,,2008-08-01,,서울특별시 종로구 명륜4가 98-1,PHMD119733000034084000002,3000000,112,,,03,폐업,,,02-766-9000
청계약국,2013-10-17,201452.97033909,452034.162854757,2026-04-25 22:31:03,I,1979-02-17,03,폐업,2013-10-17 15:22:58,,1979-02-17,,서울특별시 종로구 창신동 400-4,PHMD119743000034084000001,3000000,16,서울특별시 종로구 청계천로 345 (창신동),,03,폐업,,,02-2238-7102
단골약국,2008-10-31,,,2026-04-25 22:31:03,I,2005-04-18,03,폐업,2008-11-24 15:59:59,,2005-04-18,,서울특별시 종로구 숭인동 81-15,PHMD119743000034084000002,3000000,26,,,03,폐업,,,02-745-0731
남영약국,2015-01-02,198658.943470079,452604.254902527,2026-04-25 22:31:03,I,1997-05-01,03,폐업,2015-01-02 09:50:11,,1997-05-01,110-776,"서울특별시 종로구 경운동 192번지 35호 운현궁SK허브 101동 113,114호",PHMD119753000034084000001,3000000,41,"서울특별시 종로구 삼일대로 461, 101동 113,114호 (경운동)",,03,폐업,,,02-733-4774
삼보약국,2020-07-24,199015.39293845,451900.876514167,2026-04-25 22:31:03,I,1975-04-15,03,폐업,2020-07-24 17:48:50,,1975-04-15,110-420,서울특별시 종로구 관수동 17번지 1호,PHMD119753000034084000002,3000000,16,서울특별시 종로구 수표로 92 (관수동),03192,03,폐업,,,02-2279-9230
계동약국,2011-06-30,,,2026-04-25 22:31:03,I,1975-07-23,03,폐업,2011-06-30 17:45:07,,1975-07-23,,서울특별시 종로구 계동 82-1,PHMD119753000034084000003,3000000,22,,,03,폐업,,,02-763-1276
종로성심약국,2013-03-11,,,2026-04-25 22:31:03,I,2006-03-13,03,폐업,2013-03-11 10:21:08,,2006-03-13,,서울특별시 종로구 교북동 82번지 2층,PHMD119753000034084000004,3000000,52,,,03,폐업,,,02-730-6832
믿음약국,2021-05-13,201223.533789596,452304.752922139,2026-04-25 22:31:04,I,2008-05-02,03,폐업,2021-05-13 14:35:04,,2008-05-02,110-840,서울특별시 종로구 창신동 303번지 명제빌딩 지하1층,PHMD119773000034084000001,3000000,58,"서울특별시 종로구 종로 335-1, 지하1층 (창신동, 명제빌딩)",03104,03,폐업,,,02-745-6678
꿈이있는약국,2013-03-11,,,2026-04-25 22:31:04,I,1997-01-17,03,폐업,2013-03-11 10:36:47,,1997-01-17,,서울특별시 종로구 교북동 83-1,PHMD119773000034084000003,3000000,28,,,03,폐업,,,02-739-5136
재동약국,2011-08-16,,,2026-04-25 22:31:04,I,1977-12-16,03,폐업,2011-08-16 10:48:13,,1977-12-16,,서울특별시 종로구 재동 106-4,PHMD119773000034084000004,3000000,30,,,03,폐업,,,02-763-1725
서대문대학약국,2013-11-12,,,2026-04-25 22:31:04,I,2006-10-31,03,폐업,2013-11-12 16:09:36,,2006-10-31,,서울특별시 종로구 평동 15-4,PHMD119793000034084000001,3000000,216,서울특별시 종로구 경교장1길 2 (평동),,03,폐업,,,02-730-0737
화생당약국,2013-03-26,200445.854649673,452116.500087304,2026-04-25 22:31:04,I,1990-04-06,03,폐업,2013-03-26 11:33:00,,1990-04-06,,서울특별시 종로구 종로5가 6-4 (3층),PHMD119793000034084000002,3000000,29,서울특별시 종로구 종로 251-1 (종로5가),,03,폐업,,,02-762-4300
창신종로약국,2014-01-16,200854.03612958,452385.186316144,2026-04-25 22:31:04,I,2004-09-01,03,폐업,2014-01-16 13:46:24,,2004-09-01,,서울특별시 종로구 창신동 647-16,PHMD119793000034084000003,3000000,29,서울특별시 종로구 창신길 47 (창신동),,03,폐업,,,02-3672-0845
건강약국,2017-07-03,200009.198855806,453752.884670275,2026-04-25 22:31:04,I,2003-12-05,03,폐업,2017-07-03 10:21:52,,2003-12-05,,서울특별시 종로구 혜화동 108-1,PHMD119793000034084000004,3000000,17,서울특별시 종로구 혜화로 2 (혜화동),03076,03,폐업,,,02-764-9918
대학약국,2015-06-03,199704.625106697,452722.595266275,2026-04-25 22:31:04,I,2003-06-02,03,폐업,2015-06-03 17:35:50,,2003-06-02,,서울특별시 종로구 원남동 133-1,PHMD119803000034084000004,3000000,148,서울특별시 종로구 창경궁로 162 (원남동),,03,폐업,,,02-3672-3672
새성은약국,2021-09-09,199190.851137928,452155.029925614,2026-04-25 22:31:04,I,1984-10-24,03,폐업,2021-09-09 18:04:59,,1984-10-24,110-370,서울특별시 종로구 묘동 190번지 1호   103호,PHMD119803000034084000005,3000000,24,"서울특별시 종로구 돈화문로 35-1, 103호 (묘동)",,03,폐업,,,02-764-5968
일신약국,2015-10-01,200156.418976973,452051.431532975,2026-04-25 22:31:04,I,1992-08-01,03,폐업,2015-10-01 13:11:06,,1992-08-01,,서울특별시 종로구 종로5가 182-22,PHMD119803000034084000007,3000000,79,서울특별시 종로구 종로 224 (종로5가),03196,03,폐업,,,02-2264-1177
세검약국,2021-04-30,196316.701619379,455270.595139855,2026-04-25 22:31:04,I,1975-10-01,03,폐업,2021-04-30 11:19:45,,1975-10-01,,서울특별시 종로구 홍지동 99-3,PHMD119813000034084000001,3000000,25,서울특별시 종로구 자하문로 306 (홍지동),03017,03,폐업,,,02-395-9944
예은약국,2015-03-23,196278.554670262,456053.759563793,2026-04-25 22:31:04,I,1999-05-27,03,폐업,2015-03-23 13:28:06,,1999-05-27,,서울특별시 종로구 구기동 95-27,PHMD119813000034084000002,3000000,38,서울특별시 종로구 진흥로 456 (구기동),,03,폐업,,,02-379-9920
국제약국,2009-01-19,,,2026-04-25 22:31:04,I,2005-12-30,03,폐업,2009-01-21 08:36:13,,2005-12-30,,서울특별시 종로구 종로4가 182,PHMD119823000034084000001,3000000,17,,,03,폐업,,,02-2265-6924
낙원약국,2011-01-17,,,2026-04-25 22:31:04,I,1991-11-13,03,폐업,2011-04-13 18:05:16,,1991-11-13,,서울특별시 종로구 낙원동 210,PHMD119843000034084000001,3000000,16,,,03,폐업,,,02-762-0877
원남대학약국,2010-08-19,,,2026-04-25 22:31:04,I,2006-10-09,03,폐업,2010-08-19 17:35:15,,2006-10-09,,서울특별시 종로구 원남동 127-5,PHMD119843000034084000003,3000000,52,,,03,폐업,,,02-745-0130
푸른소나무약국,2008-10-01,,,2026-04-25 22:31:04,I,2006-12-26,03,폐업,2008-11-24 16:02:04,,2006-12-26,,서울특별시 종로구 수송동 58 두산위브파빌리온 207호,PHMD119843000034084000004,3000000,20,,,03,폐업,,,02-2198-5333
나라약국,2014-01-28,196132.751817734,452580.254196764,2026-04-25 22:31:04,I,1980-06-25,03,폐업,2014-01-28 15:48:28,,1980-06-25,,서울특별시 종로구 무악동 67-2,PHMD119853000034084000001,3000000,58,서울특별시 종로구 통일로 262 (무악동),,03,폐업,,,02-736-5525
함춘약국,2019-12-30,200089.912432586,453033.480875827,2026-04-25 22:31:04,I,2007-10-19,03,폐업,2019-12-30 15:02:39,,2007-10-19,,서울특별시 종로구 연건동 32-2,PHMD119863000034084000001,3000000,95,서울특별시 종로구 대학로 93 (연건동),03082,03,폐업,,,02-741-0370
재영약국,2011-03-28,,,2026-04-25 22:31:04,I,1993-12-10,03,폐업,2011-03-28 18:18:47,,1993-12-10,,서울특별시 종로구 연지동 206,PHMD119873000034084000001,3000000,21,,,03,폐업,,,02-744-7816
새명성약국,2019-06-10,197643.965207382,452015.02340447,2026-04-25 22:31:04,I,1987-08-13,03,폐업,2019-06-10 17:34:17,,1987-08-13,,서울특별시 종로구 신문로1가 33,PHMD119883000034084000003,3000000,29,서울특별시 종로구 새문안로 85 (신문로1가),03182,03,폐업,,,02-737-2870
수송약국,2011-03-23,,,2026-04-25 22:31:04,I,1990-03-26,03,폐업,2011-03-25 09:51:16,,1990-03-26,,서울특별시 종로구 청진동 41-2,PHMD119883000034084000004,3000000,27,,,03,폐업,,,02-733-7574
