건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,관광숙박업상세명,지하층수,선박척수,선박제원,선박총톤수
,,오아시스 트레블러스 종로,,,,198819.574269631,451942.979071945,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),Oasis Travelers Jongro,,183.48,183,6,9,,,,2026-04-24 17:29:14,,2026-03-03,,서울특별시 종로구 관철동 6-2,CDFI2260032026000012,3000000,,"서울특별시 종로구 삼일대로 393-1, 4, 5층 (관철동)",03190,01,영업/정상,,,,,,,,7,호스텔업,1,,,
,,더온재,,,20000000,201801.300137307,452526.951324552,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),The Onjae,,152.3,152,,3,,,,2026-04-24 17:29:43,,2026-03-05,,서울특별시 종로구 숭인동 1049,CDFI2260032026000013,3000000,,"서울특별시 종로구 숭인동길 1-3, 2, 3층 (숭인동)",03112,01,영업/정상,,,,,,,,,호스텔업,,,,
,,VERANDA11,,,25000000,201801.300137307,452526.951324552,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),VERANDA11,,51.28,51,,1,,,,2026-04-24 17:30:10,,2026-03-05,,서울특별시 종로구 숭인동 1049,CDFI2260032026000014,3000000,,"서울특별시 종로구 숭인동길 1-3, 4층 (숭인동)",03112,01,영업/정상,,,,,,,,,호스텔업,,,,
,,아울스테이,,,20000000,198657.113035591,451894.389633456,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),OWL STAY,,80.1,80,,1,,,,2026-04-24 17:30:40,,2026-03-10,,서울특별시 종로구 관철동 19-3 대성빌딩,CDFI2260032026000015,3000000,,"서울특별시 종로구 종로12길 16, 대성빌딩 6층 (관철동)",03189,01,영업/정상,,,,,,,,,호스텔업,,,,
,,호스텔 메가 동대문역,,,,200833.121381281,452040.323909642,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),Hostel Mega Dongdaemun Station,,151.96,152,,8,,,,2026-04-24 17:31:07,,2026-03-10,,서울특별시 종로구 창신동 444-9 임진빌딩,CDFI2260032026000016,3000000,,"서울특별시 종로구 종로46길 22, 임진빌딩 2층 (창신동)",03119,01,영업/정상,,,,,,,,,호스텔업,,,,
,,포레스트 스테이 종로,,,6500000,199243.960959498,452293.899531079,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),Forest Stay Jongno,,284.79,285,,12,,,,2026-04-24 17:31:37,,2026-03-10,,서울특별시 종로구 봉익동 10-1 디아망 쥬얼리,CDFI2260032026000017,3000000,,"서울특별시 종로구 율곡로10길 105, 디아망 쥬얼리 4층 (봉익동)",03134,01,영업/정상,,,,,,,,,호스텔업,,,,
,,MOMENTO HOSTEL,,,400000000,198568.77792237,451891.299622979,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),MOMENTO HOSTEL,,435.3,435,,22,,,,2026-04-24 17:32:07,,2026-03-10,,서울특별시 종로구 관철동 19-20 삼보빌딩,CDFI2260032026000018,3000000,,"서울특별시 종로구 삼일대로17길 52, 삼보빌딩 4, 5층 (관철동)",03189,01,영업/정상,,,,,,,,,호스텔업,,,,
,숙박시설,스테이 묘미 종로,,,130000000,198686.19085244,451852.05285101,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),Stay Myomi Jongno,,293.62,294,11,10,,,,2026-04-24 17:34:37,,2026-04-08,,서울특별시 종로구 관철동 12-13 포인트23,CDFI2260032026000023,3000000,,"서울특별시 종로구 종로12길 23, 포인트23 10, 11층 (관철동)",03190,01,영업/정상,,,,,,,,12,호스텔업,1,,,
,숙박시설,벨린스테이,,,,198596.089308222,451932.131774449,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),Bellin Stay,,262.25,262,7,12,,,,2026-04-24 17:35:35,,2026-04-08,,서울특별시 종로구 관철동 18-8,CDFI2260032026000025,3000000,,"서울특별시 종로구 우정국로2길 31, 4층 (관철동)",03189,01,영업/정상,,,,,,,,8,호스텔업,1,,,
,숙박시설,호텔 인스피룸 종로,,,10000000,201833.329247293,452396.590127958,,관광숙박업,2026-04-25 03:03:03,U,13,영업중,Tourist Accommodation Business(Hostel),Hotel Inspiroom Jongno,,542.03,542,5,16,,,,2026-04-24 17:36:01,,2026-04-08,,서울특별시 종로구 숭인동 201-6 삼광빌딩,CDFI2260032026000026,3000000,,"서울특별시 종로구 난계로29길 33-5, 삼광빌딩 (숭인동)",03115,01,영업/정상,,,,,,,,6,호스텔업,1,,,
