건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
0,,0,키즈리턴 세탁,일반세탁업,2026-05-15,,,,212563.050500552,441406.981434166,2026-05-16 03:03:03,U,02,폐업,0,2026-05-15 11:22:10,2025-04-16,50.80,138-926,서울특별시 송파구 장지동 896 위례중앙푸르지오2단지,N,0,3230000-205-2025-00002,3230000,"서울특별시 송파구 위례광장로 290, 상가동 1층 132호 (장지동, 위례중앙푸르지오2단지)",05852,2,03,폐업,일반세탁업,,1,,,,2
1,,0,청담세탁,일반세탁업,,,,,205024.620583807,446516.758470942,2026-05-16 03:03:03,U,01,영업,0,2026-05-15 12:35:58,2015-10-08,36.00,135-958,서울특별시 강남구 청담동 133-6,N,0,3220000-205-2015-00014,3220000,"서울특별시 강남구 학동로101길 7, 110호 (청담동)",06075,2,01,영업/정상,일반세탁업,02-543-5208,,,,,3
1,임대,0,계림산업(주),일반세탁업,,,,,217098.026040159,464689.960777006,2026-05-16 03:03:03,U,01,영업,,2026-05-15 10:36:02,2010-06-15,667.52,472-833,경기도 남양주시 진건읍 용정리 36-14,N,,3990000-205-2010-00015,3990000,경기도 남양주시 진건읍 독정로성지2길 80-18,12128,0,01,영업/정상,일반세탁업,031-575-4105,1,,1,,7
1,,0,빨래장이 구리본점,세탁업 기타,,,,,215189.978763724,461950.858171352,2026-05-16 03:03:03,U,01,영업,3,2026-05-15 10:37:39,2021-05-06,197.40,472-832,경기도 남양주시 진건읍 신월리 100-1 주1동 1층,N,3,3990000-205-2021-00002,3990000,"경기도 남양주시 진건읍 사릉로 475, 주1동 1층",12131,2,01,영업/정상,세탁업 기타,031-563-6668,,,,,3
0,,0,(주)진경,세탁업 기타,,,,,224924.663943109,460329.530768422,2026-05-16 03:03:03,U,01,영업,0,2026-05-15 10:45:18,2022-09-15,296.00,472-843,경기도 남양주시 화도읍 녹촌리 442-2 주2동 1층,N,0,3990000-205-2022-00004,3990000,"경기도 남양주시 화도읍 마치로284번길 110-9, 2동 1층",12187,2,01,영업/정상,세탁업 기타,031-511-5016,,,,,2
0,,0,희성산업,세탁업 기타,,,,,218151.151263032,462921.979087953,2026-05-16 03:03:03,U,01,영업,0,2026-05-15 10:39:04,2024-05-16,33.00,472-831,경기도 남양주시 진건읍 송능리 208-2 2층 일부,N,0,3990000-205-2024-00006,3990000,"경기도 남양주시 진건읍 진건오남로390번길 76-10, 2층 일부",12129,0,01,영업/정상,세탁업 기타,,,,,,1
,,,한빛크린컴퍼니,일반세탁업,,,,,219423.951152234,456884.509351085,2026-05-16 03:03:03,U,01,영업,,2026-05-15 10:34:26,1987-09-22,245.89,472-904,경기도 남양주시 와부읍 율석리 516-3,N,,3990000-205-1987-00008,3990000,경기도 남양주시 와부읍 석실로408번길 143-13,12201,,01,영업/정상,일반세탁업,031-577-3229,,,,,
,,,동부센트레빌세탁소,일반세탁업,,,,,219550.817959698,454260.819681897,2026-05-16 03:03:03,U,01,영업,,2026-05-15 10:33:24,1991-01-19,24.60,472-901,경기도 남양주시 와부읍 덕소리 613 외 1필지 동부센트레빌 상가동 111호,N,,3990000-205-1991-00004,3990000,,,,01,영업/정상,일반세탁업,031-576-4001,,,,,
,,,한화세탁,일반세탁업,,,,,214753.651218599,456165.665531005,2026-05-16 03:03:03,U,01,영업,,2026-05-15 10:29:51,2003-02-24,24.00,,경기도 남양주시 다산동 3718 한화 꿈에그린아파트 상가1동 202호,N,,3990000-205-2003-00006,3990000,"경기도 남양주시 다산지금로16번길 60, 한화 꿈에그린아파트 상가1동 202호 (다산동)",12257,,01,영업/정상,일반세탁업,031-551-1590,,,,,
,,,대광세탁소,일반세탁업,,,,,,,2026-05-16 03:03:03,U,01,영업,,2026-05-15 10:31:19,2003-02-24,,472-913,경기도 남양주시 도농동 295-13,N,,3990000-205-2003-00047,3990000,경기도 남양주시 미금로20번길 10 (도농동),,,01,영업/정상,일반세탁업,031-563-5560,,,,,
4,임대,,토마토세탁,일반세탁업,,,,,218227.066943515,462999.181528209,2026-05-16 03:03:03,U,01,영업,,2026-05-15 10:38:24,2004-04-23,198.00,472-831,경기도 남양주시 진건읍 송능리 179-2,N,,3990000-205-2004-00005,3990000,경기도 남양주시 진건읍 진건오남로390번길 75,12129,,01,영업/정상,일반세탁업,031-529-3505,1,,1,,
3,임대,,다산세탁,일반세탁업,,,,,213528.079584047,458612.196956131,2026-05-16 03:03:03,U,01,영업,,2026-05-15 10:28:29,2005-04-12,32.00,,경기도 남양주시 다산동 5771-2 다산 반도유보라 메이플타운 상가동1동 104호,N,,3990000-205-2005-00009,3990000,"경기도 남양주시 다산순환로 304, 다산 반도유보라 메이플타운 상가동1동 1층 104호 (다산동)",12285,,01,영업/정상,일반세탁업,031-551-6500,2,,2,,2
