사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
(주)엘지헬로비전(LG Hellovision Corp.),,190075.380363452,453345.947683972,2026-04-08 03:03:03,U,15,전출,2026-04-07 11:02:50,,2019-08-30,,서울특별시 마포구 상암동 ****번지 *호 드림타워,PHMG120193130033047000098,3130000,"서울특별시 마포구 월드컵북로**길 **, 드림타워 *층 (상암동)",03923,05,제외/삭제/전출,,,070-7373-2304,
나누미케어,,188931.464707078,460819.239631188,2026-04-08 03:03:03,U,13,영업중,2026-04-07 09:42:26,,2024-10-11,,경기도 고양시 덕양구 원흥동 ***-* 반도 유스퀘어,PHMG120243940138047000164,3940000,"경기도 고양시 덕양구 삼송로 **, 반도 유스퀘어 ***(일부)호 (원흥동)",10564,01,영업/정상,,,,
(주)에스원 강남,,203407.8160666,443259.898442295,2026-04-08 03:03:03,U,13,영업중,2026-04-07 11:03:30,,2009-06-08,,서울특별시 강남구 도곡동 ***-** 양제벤처타워,PHMG120093220033047000097,3220000,"서울특별시 강남구 도곡로 ***, 양제벤처타워 *층 (도곡동)",06261,01,영업/정상,,,,
수리엔의료기판매,,179539.301134652,455740.47159469,2026-04-08 03:03:03,U,15,전출,2026-04-07 09:11:00,,2023-06-16,,경기도 김포시 고촌읍 신곡리 ****-* 세종프라자,PHMG120234090023047000124,4090000,"경기도 김포시 고촌읍 장차로**번길 **, 세종프라자 ***-***호",10126,05,제외/삭제/전출,,,,
(주)윈메딕스,,206306.301931615,419313.955217649,2026-04-08 03:03:03,U,13,영업중,2026-04-07 10:55:37,,2012-09-11,,경기도 용인시 기흥구 영덕동 ***-* 이씨티,PHMG120244050148047000046,4050000,"경기도 용인시 기흥구 흥덕*로**번길 **, 이씨티 A동 ***호,***호 (영덕동)",16954,01,영업/정상,,,,
주식회사 카오시스,,204887.701121862,415210.981954646,2026-04-08 03:03:03,U,13,영업중,2026-04-07 15:12:01,,2024-10-10,,경기도 수원시 영통구 망포동 ***-* 센타프라자,PHMG120243740106047000091,3740000,"경기도 수원시 영통구 영통로 ***, 센타프라자 ***-B*호 (망포동)",16687,01,영업/정상,,,,
더 트리니티 스파(강남점),2026-04-07,203599.062771687,444556.062267296,2026-04-08 03:03:03,U,03,폐업,2026-04-07 17:13:42,,2021-07-28,,서울특별시 강남구 역삼동 *** 센터필드,PHMG120213220033047000461,3220000,"서울특별시 강남구 테헤란로 ***, 센터필드 *층 w***호 (역삼동)",06142,03,폐업,,,,
케어엔젤 포천양주지사,,228784.643729159,496066.299905484,2026-04-08 03:03:03,U,13,영업중,2026-04-07 08:55:41,,2020-06-10,,경기도 포천시 일동면 화대리 ***-*,PHMG120205600005047000006,5600000,"경기도 포천시 일동면 화동로 ****-**, *층",11117,01,영업/정상,,,,130
디에스(DS)무역,,192573.026782673,453234.891430476,2026-04-08 03:03:03,U,15,전출,2026-04-07 13:26:46,,2024-06-28,,서울특별시 서대문구 북가좌동 *-** ***호,PHMG120243120033047000031,3120000,"서울특별시 서대문구 증가로**가길 *, ***호 (북가좌동)",03669,05,제외/삭제/전출,,,,
아이스그림눈썹앤탈모커버아카데미 강동본점,,212027.481158905,446598.591776331,2026-04-08 03:03:03,U,13,영업중,2026-04-07 14:56:31,,2024-01-16,,서울특별시 강동구 둔촌동 ***-* 올림픽파크포레온,PHMG120243240033047000004,3240000,"서울특별시 강동구 양재대로 ****, 파크포레온스테이션* B***호 (둔촌동, 올림픽파크포레온)",05410,01,영업/정상,,,,
오엔엠할리야드코리아 유한회사,,205026.399941685,445067.07146082,2026-04-08 03:03:03,U,13,영업중,2026-04-07 18:38:52,,2022-03-15,,서울특별시 강남구 삼성동 ***-** WeWork빌딩,PHMG120223220033047000308,3220000,"서울특별시 강남구 테헤란로 ***, WeWork빌딩 **-*** (삼성동)",06168,01,영업/정상,,,02-6676-2849,
