건물층수,사업장명,모유수유실면적,목욕실면적,폐업일자,취사부수,좌표X,좌표Y,조리원화장실면적,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,ETC_NOPE,미화원수,지상층수,영유아정원수,영유아실면적,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,간호조무사수,간호사수,영양사수,사무실면적,개방자치단체코드,임산부정원수,임산부실면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,급식시설면적,휴업시작일자,휴업종료일자,소재지전화번호,지하층수,세탁실면적
11,(주)와이케이 동그라미 산후조리원 금천지점,,13,2019-09-03,1,191917.450107657,438699.77460936,60,2026-04-27 22:00:44,I,03,폐업,1,1,5,23,57,2019-09-03 12:21:22,,2007-10-02,153-031,서울특별시 금천구 시흥1동 912번지 20호  에벤에셀프라자 5층,PHMB120073170035042100001,8,2,0,16,3170000,23,271,"서울특별시 금천구 금하로 720 (시흥동,에벤에셀프라자 5층)",,03,폐업,60,,,,2,23
22,뉴연세산후조리원,30,2,2021-09-24,,191074.222004678,439241.805170218,2,2026-04-27 22:00:44,I,03,폐업,0,1,19,26,50,2021-09-28 08:49:47,,2008-02-18,153-030,서울특별시 금천구 시흥동 999번지 29호  30호,PHMB120083170035042100001,7,4,0,7,3170000,26,367,"서울특별시 금천구 시흥대로 239 (시흥동,30호)",08614,03,폐업,71,,,02-891-1801,3,8
5,관악 여울소 산후조리원,,,2009-04-25,2,193898.694557768,442510.166080003,,2026-04-27 22:00:44,I,03,폐업,,1,,10,21,2009-06-30 15:19:51,,2007-09-21,151-015,서울특별시 관악구 신림동 1422번지 10호,PHMB120073200033042100001,3,3,0,,3200000,10,168,서울특별시 관악구 남부순환로 1631 (신림동),,03,폐업,,,,,,
3,미래퀸 산후조리원,9,56,2014-10-28,2,194719.981415722,442674.193730756,,2026-04-27 22:00:44,I,03,폐업,,,3,18,38,2014-10-29 09:37:55,,2008-11-12,151-826,서울특별시 관악구 은천동 937번지 15호,PHMB120083200033042100001,3,3,,,3200000,18,326,서울특별시 관악구 은천로 51 (봉천동),,03,폐업,34,,,,,11
18,로얄 사임당 산후조리원,14,3,2012-05-14,2,195537.269534163,442122.202180318,3,2026-04-27 22:00:44,I,03,폐업,,2,,15,56,2012-05-17 09:07:51,,2009-04-10,151-836,서울특별시 관악구 청룡동 875번지 1호,PHMB120093200033042100001,6,6,,18,3200000,15,12,서울특별시 관악구 남부순환로 1802 (봉천동),,03,폐업,48,,,,,3
,사임당산후조리원,24,,2016-11-08,,195611.587818684,442204.012875284,5,2026-04-27 22:00:44,I,03,폐업,,,,10,18,2016-11-08 13:16:38,,2009-07-06,,서울특별시 관악구 봉천동 870번지 2호 은일빌딩,PHMB120093200033042100004,2,3,,8,3200000,10,126,"서울특별시 관악구 봉천로 462 (봉천동, 은일빌딩)",08758,03,폐업,22,2016-10-06,2017-04-05,,,6
5,로얄사임당 산후조리원(관악점),,6,2020-06-11,2,195915.267434669,442465.953291086,4,2026-04-27 22:00:44,I,03,폐업,,1,5,15,38,2020-06-11 15:25:42,,2010-09-27,,서울특별시 관악구 봉천동 32번지 8호 동진빌딩,PHMB120103200033042100001,5,3,0,8,3200000,15,19,"서울특별시 관악구 관악로 217, 동진빌딩 13층 (봉천동)",08744,03,폐업,9,,,02-862-3588,,12
6,가연산후조리원,15,109,2019-10-04,2,193643.274303943,442230.03574985,110,2026-04-27 22:00:44,I,03,폐업,1,1,6,29,75,2019-10-11 17:30:45,,2012-01-13,151-015,서울특별시 관악구 신림동 1638번지 1호,PHMB120123200033042100002,4,8,,9,3200000,29,499,서울특별시 관악구 신원로 35 (신림동),,03,폐업,74,,,,,23
7,로얄사임당산후조리원,14,4,2014-04-25,2,195274.343265834,442663.498606503,4,2026-04-27 22:00:45,I,03,폐업,,2,7,18,72,2014-04-30 14:49:53,,2012-11-12,151-822,"서울특별시 관악구 중앙동 463번지 4호 메카플러스 7,8층",PHMB120123200033042100004,2,7,1,8,3200000,18,22,"서울특별시 관악구 양녕로 46 (봉천동,메카플러스 7,8층)",,03,폐업,45,,,,,9
9,미래드림 산후조리원,0,0,2019-04-12,2,195387.990236283,442205.889843962,32,2026-04-27 22:00:45,I,03,폐업,1,1,7,13,39,2019-04-12 13:45:57,,2015-02-23,,,PHMB120153200033042100001,5,4,,16,3200000,13,234,서울특별시 관악구 남부순환로 1785 (봉천동),08758,03,폐업,28,2017-04-12,2019-04-11,02-886-5551,2,20
0,행복한 산후조리원,,1,2016-10-31,2,,,25,2026-04-27 22:00:43,I,03,폐업,,1,,13,27,2016-10-25 19:19:22,,2005-09-29,,서울특별시 강남구 역삼동 786번지 12호,PHMB120053220033042100001,6,4,,5,3220000,13,124,"서울특별시 강남구 도곡로 786-19 (역삼동, 정민빌딩)",06230,03,폐업,167,,,,,6
6,트리니티산후조리원(청담점),15,35,2021-05-18,1,205004.086672612,446564.659683453,6,2026-04-27 22:00:43,I,03,폐업,4,1,4,15,3,2021-05-18 16:36:07,,2006-11-27,,서울특별시 강남구 청담동 132번지 16호 청구 빌딩 2층,PHMB120063220033042100001,11,4,,12,3220000,15,281,"서울특별시 강남구 학동로101길 15, 청구 빌딩 2층 (청담동)",06075,03,폐업,23,2017-07-13,2017-08-01,,2,8
0,아이통곡산후조리원,,,2014-03-06,2,203479.293031865,445256.313474871,,2026-04-27 22:00:43,I,03,폐업,,1,,12,28,2014-03-05 16:19:26,,2006-12-07,135-833,서울특별시 강남구 논현2동 277번지 27호,PHMB120063220033042100002,5,3,,,3220000,12,108,서울특별시 강남구 봉은사로 303 (논현동),,03,폐업,,,,,,
8,호산여성병원산후조리원,,,2013-11-28,,202879.096032846,447368.00014,,2026-04-27 22:00:43,I,03,폐업,,,8,7,,2013-11-28 16:51:11,,2007-11-12,135-894,서울특별시 강남구 신사동 617번지 5호,PHMB120073220033042100002,5,3,,,3220000,7,148,서울특별시 강남구 언주로 871 (신사동),,03,폐업,,,,,,
