년간생산량,사업장명,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,취급목재제품,최종수정시점,인허가일자,지번주소,관리번호,인력보유현황,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,상태구분명,소재지전화번호,목재생산업종류명,목재생산업구분코드명
100000,***,500,209246.187569379,428774.799450215,2026-04-27 22:30:11,I,1,정상,"목재펠릿, 우드칩 등",2020-02-20 16:38:46,2020-02-20,경기도 성남시 분당구 정자동 ***-* 더샵스타파크 ***동 ****호,322000090202000003,1,3220000,"경기도 성남시 분당구 정자일로 ***, ***동 ****호 (정자동, 더샵스타파크)",13560,01,영업/정상,영업,,,목재수입유통업
100,***,200,207727.968494658,426045.211019383,2026-04-27 22:30:11,I,1,정상,원목마루 등,2020-04-29 17:02:48,2020-04-29,경기도 용인시 수지구 동천동 *** 한빛마을 래미안 이스트팰리스 *단지,322000090202000005,2,3220000,"경기도 용인시 수지구 동천로***번길 * (동천동, 한빛마을 래미안 이스트팰리스 *단지)",16822,01,영업/정상,영업,02-540-0886,,목재수입유통업
3000,***,5000,200769.106350156,448302.321864858,2026-04-27 22:30:11,I,1,정상,바닥재(강화마루) 등,2020-06-01 15:50:39,2020-06-01,서울특별시 용산구 한남동 *** 한남더힐,322000090202000006,2,3220000,"서울특별시 용산구 독서당로 ***, ****동 ***호 (한남동, 한남더힐)",04419,01,영업/정상,영업,02-571-2432,,목재수입유통업
1900,***,100,169445.090631316,455746.339998597,2026-04-27 22:30:11,I,1,정상,합판,2020-09-29 11:30:03,2020-08-11,인천광역시 서구 마전동 ***-* 코스모스빌딩 *층,322000090202000007,,3220000,인천광역시 서구 완정로***번길 * (마전동),22612,01,영업/정상,영업,032-569-4891,,목재수입유통업
15000,우드포유,126,203894.031407652,444624.818170279,2026-04-27 22:30:11,I,1,정상,원목마루,2020-10-19 17:05:03,2020-10-19,서울특별시 강남구 역삼동 ***-** 아남타워빌딩 ****호,322000090202000009,1,3220000,"서울특별시 강남구 테헤란로 ***, 아남타워빌딩 ****호 (역삼동)",06151,01,영업/정상,영업,02-501-5995,,목재수입유통업
54,(주)해피우드(박찬일),150000000,202592.6349882,445604.336623445,2026-04-27 22:30:11,I,1,정상,마루재,2020-12-10 09:21:11,2020-12-10,서울특별시 강남구 논현동 ***-**,322000090202000010,4,3220000,"서울특별시 강남구 논현로***길 **-*, *층 (논현동)",06112,01,영업/정상,영업,02-488-1852,,목재수입유통업
100,(주)알티에스글로벌,50,205271.275273064,445852.638814088,2026-04-27 22:30:11,I,1,정상,숯,2020-12-28 12:16:11,2020-12-24,서울특별시 강남구 삼성동 *** 삼성동 미켈란 ***,322000090202000011,1,3220000,"서울특별시 강남구 영동대로 ***, *층 F***호 (삼성동, 삼성동 미켈란 ***)",06083,01,영업/정상,영업,,,목재수입유통업
6000,동아시아전략 연구소,,203653.527716947,442542.150411461,2026-04-27 22:30:11,I,1,정상,"목재브리켓, 목재 펠릿",2021-03-11 13:29:08,2021-01-06,서울특별시 강남구 도곡동 ***,322000090202100001,,3220000,"서울특별시 강남구 논현로**길 *, *층 (도곡동)",06296,01,영업/정상,영업,02-533-0101,,목재수입유통업
,와이앤리소스,,202729.953032742,444258.940502988,2026-04-27 22:30:11,I,1,정상,목재팰릿,2021-10-12 14:09:56,2021-10-12,,322000090202100005,1,3220000,"서울특별시 강남구 강남대로**길 ** (역삼동, 화인빌딩 *층)",,01,영업/정상,영업,070-7760-9995,,목재수입유통업
,우드림,,202803.137561335,443189.823482655,2026-04-27 22:30:11,I,1,정상,우드펠릿,2021-12-14 15:08:02,2021-12-14,서울특별시 강남구 역삼동 ***-** 삼일프라자오피스텔 ****호,322000090202100006,,3220000,"서울특별시 강남구 도곡로*길 **, 삼일프라자오피스텔 ****호 (역삼동)",06253,01,영업/정상,영업,02-6204-6777,,목재수입유통업
,레텐마이어코리아(주),100,202791.425800784,443306.721390031,2026-04-27 22:30:11,I,1,정상,"펄프, 유기 맟 천연섬유 등",2025-12-06 17:09:53,2022-06-30,서울특별시 강남구 역삼동 ***-** 동일빌딩,322000090202200001,,3220000,"서울특별시 강남구 도곡로*길 **, 동일빌딩 (역삼동)",06253,01,영업/정상,영업,02-3487-5120,,목재수입유통업
100,(주)제이케이테크지엠엔,500,202150.778782271,446100.013354495,2026-04-27 22:30:11,I,1,정상,,2022-07-07 13:55:50,2022-07-07,서울특별시 강남구 논현동 **-** 용헌빌딩,322000090202200002,,3220000,"서울특별시 강남구 도산대로**길 **, 용헌빌딩 (논현동)",06040,01,영업/정상,영업,,,목재수입유통업
100,(주)제이케이테크지엠엔,50,202150.778782271,446100.013354495,2026-04-27 22:30:11,I,1,정상,,2022-07-07 14:02:14,2022-07-07,서울특별시 강남구 논현동 **-** 용헌빌딩,322000090202200003,,3220000,"서울특별시 강남구 도산대로**길 **, 용헌빌딩 (논현동)",06040,01,영업/정상,영업,,,목재수입유통업
4000,(주)미래그린케미칼,666,206970.919291372,443574.411625824,2026-04-27 22:30:11,I,1,정상,성형목탄,2022-08-10 08:48:49,2022-08-10,서울특별시 강남구 개포동 **-* 대청타워,322000090202200004,미정,3220000,"서울특별시 강남구 개포로 ***, 대청타워 *층 ***호 (개포동)",06336,01,영업/정상,영업,02-445-9066,,목재수입유통업
4000,(주)미래그린케미칼,666,206970.919291372,443574.411625824,2026-04-27 22:30:11,I,1,정상,성형목탄,2022-08-10 13:25:40,2022-08-10,서울특별시 강남구 개포동 **-* 대청타워,322000090202200005,1,3220000,"서울특별시 강남구 개포로 ***, 대청타워 (개포동)",06336,01,영업/정상,영업,,,목재수입유통업
30000,주식회사 새티스인터내셔날,200,203953.067461841,444781.949383308,2026-04-27 22:30:11,I,1,정상,"숯, 성형숯",2023-02-22 12:14:51,2023-02-21,서울특별시 강남구 역삼동 ***-** 화성빌딩,322000090202300002,해당없음,3220000,"서울특별시 강남구 테헤란로**길 **, 화성빌딩 (역삼동)",06148,01,영업/정상,영업,,,목재수입유통업
120000,주식회사 제이제이우드,30,203653.527716947,442542.150411461,2026-04-27 22:30:11,I,1,정상,"우드펠릿, 목재가공품",2023-02-28 17:31:54,2023-02-28,서울특별시 강남구 도곡동 ***,322000090202300004,,3220000,"서울특별시 강남구 논현로**길 *, *층 (도곡동)",06296,01,영업/정상,영업,02-571-0008,,목재수입유통업
30000,***,99,202635.525941012,443839.93360458,2026-04-27 22:30:11,I,1,정상,목재펠릿 등,2023-04-14 15:43:22,2023-04-14,,322000090202300005,,3220000,서울특별시 강남구 강남대로**길 **-*(역삼동),06240,01,영업/정상,영업,,,목재수입유통업
50000,주식회사 우노코리아,150,202316.743037672,446736.381717956,2026-04-27 22:30:11,I,1,정상,천연무늬목치장마루판,2023-08-01 17:30:45,2023-08-01,서울특별시 강남구 신사동 ***-**,322000090202300010,,3220000,"서울특별시 강남구 논현로***길 **, JC빌딩 *층 (신사동)",06032,01,영업/정상,영업,02-3446-2225,,목재수입유통업
100000,주식회사 크리에이티브코너,50,201749.456413619,446742.828123922,2026-04-27 22:30:11,I,1,정상,"목재팰릿, 목재칩, 톱밥, 대패톱밥",2023-08-24 16:14:34,2023-08-24,서울특별시 강남구 신사동 ***-* 덕산빌딩,322000090202300011,,3220000,"서울특별시 강남구 압구정로 ***, 덕산빌딩 ***호 (신사동)",06028,01,영업/정상,영업,,,목재수입유통업
1000,주식회사 그린켐,20,204891.083558761,445417.156400728,2026-04-27 22:30:11,I,3,폐업,숯,2026-02-09 17:45:34,2023-10-06,서울특별시 강남구 삼성동 ***-** 은지빌딩,322000090202300012,,3220000,"서울특별시 강남구 삼성로***길 **, 은지빌딩 ***호 (삼성동)",06166,03,폐업,폐업,02-558-7745,,목재수입유통업
30000,한와흥업 주식회사,1000,205340.631121567,445354.571117445,2026-04-27 22:30:11,I,1,정상,목재팰릿,2023-11-01 15:46:34,2023-11-01,서울특별시 강남구 삼성동 ***-* 트레이드타워,322000090202300013,,3220000,"서울특별시 강남구 영동대로 ***, 트레이드타워 ****호 (삼성동)",06164,01,영업/정상,영업,02-551-0684,,목재수입유통업
245,주식회사 러쉬코리아,66,203436.336720731,446020.722282433,2026-04-27 22:30:11,I,1,정상,숯,2023-11-22 17:20:27,2023-11-22,서울특별시 강남구 논현동 ***-** 메이트리 빌딩(matree B/D),322000090202300014,,3220000,"서울특별시 강남구 학동로 ***, 메이트리 빌딩(matree B/D) (논현동)",06099,01,영업/정상,영업,02-795-7510,,목재수입유통업
60000,디아이동일 주식회사,13020,205242.919999395,445003.215674922,2026-04-27 22:30:11,I,1,정상,목재펠릿,2024-01-11 16:42:10,2024-01-11,서울특별시 강남구 대치동 ***-* 정헌빌딩,322000090202400001,,3220000,"서울특별시 강남구 테헤란로 ***, 정헌빌딩 (대치동)",06180,01,영업/정상,영업,02-2222-3047,,목재수입유통업
100000,대아솔루션 주식회사,900,205677.522476464,444555.644453973,2026-04-27 22:30:11,I,1,정상,"목재펠릿, 목재칩",2024-02-06 19:13:59,2024-02-06,서울특별시 강남구 대치동 ***-* S-TOWER,322000090202400003,2,3220000,"서울특별시 강남구 영동대로 ***, **층 (대치동, S-TOWER)",06188,01,영업/정상,영업,02-3476-5149,,목재수입유통업
480,주식회사 에이치엔비월드,,202791.408103498,443281.64936354,2026-04-27 22:30:11,I,1,정상,숯,2024-02-21 09:07:53,2024-02-21,서울특별시 강남구 역삼동 ***-** 삼성애니텔,322000090202400005,,3220000,"서울특별시 강남구 도곡로*길 **, 삼성애니텔 (역삼동)",06253,01,영업/정상,영업,,,목재수입유통업
,주식회사 유로우드,460,202557.961910824,445650.772830743,2026-04-27 22:30:11,I,1,정상,목질 바닥재,2024-03-19 09:10:25,2024-03-19,서울특별시 강남구 논현동 ***-** 유로타워,322000090202400008,,3220000,"서울특별시 강남구 논현로***길 **, 유로타워 (논현동)",06112,01,영업/정상,영업,,,목재수입유통업
,주식회사 한특퍼니쳐,,202845.990013976,445399.125556242,2026-04-27 22:30:11,I,1,정상,목질바닥재,2025-07-01 18:25:21,2024-04-01,서울특별시 강남구 논현동 ***-*,322000090202400009,,3220000,서울특별시 강남구 논현로***길 * (논현동),06107,01,영업/정상,영업,,,목재수입유통업
,주식회사엠씨앤제이,,205730.023172858,444817.999802421,2026-04-27 22:30:11,I,1,정상,원목마루,2024-04-10 19:54:11,2024-04-11,서울특별시 강남구 대치동 ****-* 보성빌딩,322000090202400010,,3220000,"서울특별시 강남구 역삼로 ***, 보성빌딩 (대치동)",06176,01,영업/정상,영업,,,목재수입유통업
,(주)인하우스파트너스,,204682.199084643,447107.23421828,2026-04-27 22:30:11,I,1,정상,천연 무늬목 치장 마루판,2026-03-22 11:13:07,2024-08-30,서울특별시 강남구 청담동 ***-**,322000090202400013,,3220000,서울특별시 강남구 압구정로**길 ** (청담동),06013,01,영업/정상,영업,,,목재수입유통업
,***,,204615.364777705,444884.394551474,2026-04-27 22:30:11,I,1,정상,,2025-02-12 16:50:16,2025-02-12,서울특별시 강남구 삼성동 ***-** 현대타워,322000090202500002,,3220000,"서울특별시 강남구 테헤란로 *** (삼성동, 현대타워)",06159,01,영업/정상,영업,,,목재수입유통업
,(주)세경,,204027.169768655,444567.421853232,2026-04-27 22:30:11,I,1,정상,,2025-03-06 16:45:36,2025-03-06,서울특별시 강남구 역삼동 ***-** 한신인터밸리**,322000090202500004,,3220000,"서울특별시 강남구 테헤란로 ***, 한신인터밸리** (역삼동)",06211,01,영업/정상,영업,,,목재수입유통업
,라파엘 이스켄데로브,,202162.281625975,444783.30832928,2026-04-27 22:30:11,I,1,정상,,2025-04-30 16:34:51,2025-04-30,서울특별시 강남구 논현동 ***-*,322000090202500006,,3220000,서울특별시 강남구 봉은사로*길 * (논현동),06120,01,영업/정상,영업,,,목재수입유통업
,주식회사 바른글로벌,,202725.962072631,443203.561575728,2026-04-27 22:30:11,I,1,정상,성형 숯,2025-06-25 16:16:59,2025-06-25,서울특별시 강남구 역삼동 ***-** 유니온센터오피스텔,322000090202500007,,3220000,"서울특별시 강남구 강남대로 ***, 유니온센터오피스텔 (역삼동)",06253,01,영업/정상,영업,,,목재수입유통업
240000,주식회사 솔바인,4350,202956.896928768,447188.508901859,2026-04-27 22:30:11,I,1,정상,목재펠릿,2025-09-02 14:19:07,2025-09-02,서울특별시 강남구 신사동 ***-* 스페이스데코,322000090202500009,,3220000,"서울특별시 강남구 언주로***길 *, 스페이스데코 *층 (신사동)",06017,01,영업/정상,영업,02-597-8717,,목재수입유통업
5000,주식회사 네오아이엔씨,150,202409.996210142,446200.852291685,2026-04-27 22:30:11,I,1,정상,치장목질마루판,2025-11-21 10:45:19,2025-11-21,서울특별시 강남구 논현동 *-* 논현빌딩,322000090202500010,,3220000,"서울특별시 강남구 도산대로**길 **, 논현빌딩 *층 (논현동)",06040,01,영업/정상,영업,02-546-8820,,목재수입유통업
540,주식회사 링고글로벌,50,202996.058944139,445069.839126518,2026-04-27 22:30:11,I,1,정상,압축목재파레트,2025-11-21 10:54:17,2025-11-21,서울특별시 강남구 논현동 ***-**,322000090202500011,,3220000,"서울특별시 강남구 봉은사로 ***, **층 (논현동)",06109,01,영업/정상,영업,02-511-4317,,목재수입유통업
5000,엠플라자(주),350,202994.479619824,444465.473671997,2026-04-27 22:30:10,I,1,정상,"MDF, 합판, PB 등",2021-10-07 14:09:33,2013-12-05,서울특별시 강남구 역삼동 ***-** 예양빌딩 ***호,322000090201300007,,3220000,"서울특별시 강남구 논현로**길 **, ***호 (역삼동, 예양빌딩)",,01,영업/정상,영업,02-553-5779,,목재수입유통업
,(주)뉴라인데코,300,208937.760652081,442873.588039887,2026-04-27 22:30:10,I,1,정상,Oak solid 外 다종,2019-10-14 17:30:22,2013-12-05,서울특별시 강남구 수서동 ***,322000090201300008,,3220000,서울특별시 강남구 밤고개로*길 ** (수서동),,01,영업/정상,영업,02-2040-6720,,목재수입유통업
,(주)하나코퍼레이션,700,205340.631121567,445354.571117445,2026-04-27 22:30:10,I,1,정상,방부목 외,2013-12-05 13:15:28,2013-12-05,서울특별시 강남구 삼성동 ***-*,322000090201300009,,3220000,서울특별시 강남구 영동대로 *** (삼성동),,01,영업/정상,영업,02-551-3190,,목재수입유통업
96000,(주)코리아팀버,600,203143.186933767,443166.609641611,2026-04-27 22:30:10,I,1,정상,마루판,2013-12-05 13:38:20,2013-12-05,서울특별시 강남구 도곡동 ***-* 하우빌딩 *층,322000090201300010,,3220000,,,01,영업/정상,영업,02-573-9114,,목재수입유통업
250,(주)신정에스앤더블유,212,202520.656656354,445526.431764496,2026-04-27 22:30:10,I,1,정상,"구조재, 판재, 플로링",2013-12-06 11:25:34,2013-12-06,서울특별시 강남구 논현동 ***-* 공용빌딩,322000090201300018,,3220000,"서울특별시 강남구 학동로**길 ** (논현동, 공용빌딩)",,01,영업/정상,영업,02-549-2508,,목재수입유통업
